t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-378;1,5;0,212;0,074;562,7;
-377,5;5,2;0,14;0,078;562,6;
-377;4,3;0,228;0,087;562,5;
-376,5;3,7;0,18;0,063;562,5;
-376;5;0,17;0,072;562,5;
-375,5;5,5;0,164;0,059;562,5;
-375;2,7;0,233;0,088;562,3;
-374,5;3,7;0,184;0,054;562,3;
-374;6,2;0,144;0,049;562,2;
-373,5;4,8;0,185;0,066;562,1;
-373;4;0,175;0,056;562,1;
-372,5;2,7;0,198;0,042;562;
-372;2,8;0,231;0,058;562;
-371,5;3,6;0,183;0,051;561,9;
-371;2,5;0,216;0,09;563;
-370,5;1,9;0,199;0,071;563;
-370;4,3;0,214;0,057;562,9;
-369,5;2,1;0,184;0,074;562,9;
-369;2,3;0,207;0,064;562,8;
-368,5;2,5;0,24;0,087;562,7;
-368;4,5;0,177;0,061;562,7;
-367,5;2,6;0,211;0,085;562,6;
-367;4,5;0,179;0,069;562,6;
-366,5;1,9;0,208;0,091;562,5;
-366;3,9;0,165;0,053;562,5;
-365,5;5,7;0,179;0,056;562,5;
-365;4,7;0,188;0,048;562,5;
-364,5;4,1;0,212;0,102;562,4;
-364;1,6;0,201;0,085;562,3;
-363,5;4;0,187;0,068;562,3;
-363;4,2;0,198;0,057;562,3;
-362,5;2,7;0,202;0,078;562,3;
-362;5,5;0,149;0,052;562,3;
-361,5;5,8;0,204;0,027;562,1;
-361;2,2;0,207;0,059;563,4;
-360,5;4,4;0,173;0,063;563,3;
-360;2,6;0,233;0,08;563,3;
-359,5;4,2;0,172;0,052;563,2;
-359;3,9;0,187;0,037;563,2;
-358,5;3,4;0,209;0,064;563,1;
-358;2,3;0,238;0,072;563,1;
-357,5;5,1;0,173;0,056;563,1;
-357;3,8;0,188;0,061;563;
-356,5;2,2;0,201;0,082;562,9;
-356;5,1;0,179;0,051;562,8;
-355,5;3,2;0,221;0,08;562,8;
-355;3,2;0,179;0,072;562,7;
-354,5;3,7;0,188;0,076;562,7;
-354;3,6;0,214;0,077;562,7;
-353,5;3,1;0,217;0,051;562,6;
-353;3,5;0,194;0,061;562,5;
-352,5;5,2;0,163;0,054;562,4;
-352;4,6;0,209;0,066;562,5;
-351,5;5,1;0,158;0,058;562,4;
-351;3,1;0,223;0,085;563;
-350,5;2,7;0,157;0,08;563;
-350;5;0,211;0,063;562,9;
-349,5;4,1;0,177;0,093;562,9;
-349;2,4;0,185;0,08;562,8;
-348,5;4;0,177;0,045;562,8;
-348;2;0,246;0,081;562,7;
-347,5;1,6;0,228;0,074;562,7;
-347;3,1;0,172;0,069;562,6;
-346,5;3,7;0,196;0,072;562,5;
-346;4;0,211;0,063;562,5;
-345,5;3,4;0,224;0,048;562,4;
-345;4,2;0,162;0,064;562,5;
-344,5;4;0,219;0,063;562,5;
-344;2;0,245;0,061;562,4;
-343,5;3,7;0,193;0,057;562,3;
-343;3,2;0,217;0,073;562,3;
-342,5;4,5;0,206;0,059;562,3;
-342;4,6;0,149;0,048;562,2;
-341,5;4;0,159;0,051;562,2;
-341;5,7;0,223;0,074;563,4;
-340,5;1,8;0,218;0,078;563,3;
-340;5;0,12;0,037;563,2;
-339,5;4,1;0,198;0,073;563,2;
-339;2,7;0,232;0,073;563,1;
-338,5;3,5;0,162;0,058;563;
-338;3,7;0,196;0,063;563;
-337,5;3,9;0,203;0,054;563;
-337;1,5;0,208;0,088;562,9;
-336,5;1,5;0,233;0,059;562,8;
-336;4,2;0,194;0,069;562,8;
-335,5;4,1;0,209;0,071;562,7;
-335;3,8;0,17;0,033;562,7;
-334,5;5;0,207;0,059;562,6;
-334;3,5;0,192;0,087;562,6;
-333,5;3,3;0,188;0,063;562,5;
-333;5,5;0,173;0,03;562,4;
-332,5;3;0,224;0,048;562,4;
-332;2,5;0,211;0,082;562,3;
-331,5;2,3;0,201;0,077;562,3;
-331;1,6;0,226;0,04;563,3;
-330,5;3,5;0,199;0,043;563,2;
-330;4,1;0,236;0,059;563,2;
-329,5;1,8;0,201;0,057;563,1;
-329;2,6;0,212;0,066;563,1;
-328,5;4,1;0,199;0,085;563,1;
-328;4,4;0,189;0,052;563;
-327,5;5,9;0,158;0,056;562,9;
-327;3;0,217;0,071;562,8;
-326,5;4,6;0,193;0,044;562,8;
-326;5,7;0,188;0,062;562,8;
-325,5;4,6;0,193;0,077;562,7;
-325;3,9;0,197;0,062;562,7;
-324,5;4,7;0,154;0,057;562,7;
-324;3,1;0,218;0,083;562,6;
-323,5;3,3;0,198;0,074;562,6;
-323;4,3;0,148;0,063;562,6;
-322,5;4,9;0,208;0,052;562,5;
-322;3,7;0,197;0,045;562,4;
-321,5;2,3;0,218;0,066;562,4;
-321;3,4;0,182;0,067;563,3;
-320,5;2,9;0,233;0,081;563,2;
-320;1,5;0,218;0,081;563,2;
-319,5;1,5;0,206;0,08;563,1;
-319;2,8;0,188;0,072;563,1;
-318,5;3,9;0,214;0,091;563;
-318;1,3;0,223;0,078;563;
-317,5;5,2;0,178;0,051;562,9;
-317;4,2;0,199;0,053;562,8;
-316,5;3,9;0,199;0,034;562,8;
-316;2,5;0,222;0,067;562,8;
-315,5;6,3;0,16;0,027;562,7;
-315;4,2;0,201;0,071;562,7;
-314,5;3,4;0,202;0,047;562,6;
-314;3,9;0,191;0,059;562,5;
-313,5;4,3;0,198;0,085;562,5;
-313;3,9;0,163;0,064;562,4;
-312,5;5,7;0,16;0,044;562,4;
-312;2,8;0,235;0,058;562,4;
-311,5;4;0,217;0,056;562,3;
-311;2,9;0,17;0,088;563,2;
-310,5;5,2;0,17;0,033;563,2;
-310;2,3;0,246;0,072;563,1;
-309,5;3,5;0,206;0,04;563;
-309;3,6;0,196;0,058;563;
-308,5;3,6;0,194;0,082;562,9;
-308;3,3;0,194;0,078;562,9;
-307,5;4,3;0,167;0,045;562,8;
-307;4,9;0,207;0,062;562,7;
-306,5;5,6;0,145;0,039;562,7;
-306;2,9;0,218;0,071;562,7;
-305,5;4,6;0,159;0,071;562,6;
-305;4,1;0,182;0,064;562,6;
-304,5;4,1;0,237;0,052;562,5;
-304;1;0,217;0,073;562,5;
-303,5;3,4;0,201;0,061;562,5;
-303;4,1;0,185;0,048;562,5;
-302,5;4,7;0,198;0,052;562,5;
-302;4,8;0,185;0,032;562,4;
-301,5;1,7;0,247;0,074;562,4;
-301;5,3;0,17;0,048;563,3;
-300,5;4;0,199;0,058;563,2;
-300;3,2;0,185;0,061;563,1;
-299,5;4,3;0,177;0,051;563,1;
-299;1,6;0,242;0,083;563;
-298,5;5,2;0,146;0,054;563;
-298;2,2;0,212;0,062;562,9;
-297,5;3,9;0,157;0,067;562,8;
-297;4,9;0,208;0,069;562,8;
-296,5;4,1;0,189;0,071;562,8;
-296;3,2;0,173;0,091;562,7;
-295,5;4,7;0,183;0,082;562,7;
-295;3,9;0,164;0,056;562,6;
-294,5;4,3;0,194;0,092;562,6;
-294;2,9;0,217;0,054;562,5;
-293,5;3,7;0,158;0,073;562,5;
-293;3,9;0,217;0,069;562,4;
-292,5;4,6;0,17;0,066;562,3;
-292;6,6;0,149;0,052;562,2;
-291,5;3,7;0,177;0,076;562,2;
-291;3,6;0,219;0,078;563;
-290,5;3,2;0,194;0,088;562,9;
-290;3,7;0,193;0,076;562,8;
-289,5;5,3;0,197;0,057;562,8;
-289;3,3;0,212;0,067;562,7;
-288,5;3,9;0,173;0,051;562,7;
-288;5,8;0,197;0,049;562,6;
-287,5;3,9;0,213;0,059;562,6;
-287;3;0,163;0,092;562,5;
-286,5;3,2;0,178;0,077;562,4;
-286;4,3;0,196;0,062;562,5;
-285,5;5,7;0,188;0,048;562,3;
-285;2;0,197;0,087;562,3;
-284,5;3,9;0,209;0,058;562,3;
-284;5,1;0,192;0,04;562,3;
-283,5;3,2;0,221;0,053;562,2;
-283;5,4;0,173;0,043;562,3;
-282,5;2,5;0,212;0,076;562,2;
-282;3,9;0,197;0,092;562,2;
-281,5;2,9;0,208;0,076;562,1;
-281;2,6;0,208;0,074;563;
-280,5;0,5;0,196;0,096;562,9;
-280;5,4;0,168;0,063;562,7;
-279,5;3,3;0,204;0,114;562,8;
-279;3,6;0,183;0,044;562,7;
-278,5;2,4;0,18;0,076;562,6;
-278;3;0,218;0,056;562,6;
-277,5;3,5;0,228;0,063;562,6;
-277;4,2;0,154;0,052;562,5;
-276,5;4,9;0,174;0,069;562,3;
-276;4,2;0,198;0,076;562,4;
-275,5;3,9;0,185;0,081;562,3;
-275;4,2;0,189;0,064;562,3;
-274,5;4,6;0,185;0,043;562,2;
-274;4,1;0,184;0,056;562,2;
-273,5;2,2;0,221;0,064;562,1;
-273;2,3;0,204;0,074;562;
-272,5;2;0,217;0,082;562;
-272;1,9;0,204;0,083;561,9;
-271,5;2,4;0,222;0,053;561,9;
-271;3,3;0,191;0,085;562,8;
-270,5;4,4;0,172;0,076;562,9;
-270;5,2;0,185;0,019;562,7;
-269,5;5,8;0,164;0,083;562,7;
-269;6,3;0,149;0,048;562,5;
-268,5;3,3;0,219;0,053;562,6;
-268;5,2;0,189;0,023;562,5;
-267,5;6,1;0,192;0,029;562,5;
-267;4,3;0,185;0,058;562,5;
-266,5;4,1;0,188;0,056;562,4;
-266;3,6;0,222;0,082;562,3;
-265,5;4,6;0,172;0,038;562,3;
-265;1,9;0,23;0,078;562,3;
-264,5;5,2;0,193;0,047;562,2;
-264;3,4;0,183;0,082;562,3;
-263,5;3,9;0,18;0,083;562,2;
-263;5,7;0,154;0,081;562,1;
-262,5;3,9;0,189;0,076;562,1;
-262;4,2;0,194;0,076;562;
-261,5;1,5;0,218;0,077;562;
-261;3,1;0,18;0,092;563;
-260,5;3,7;0,18;0,093;562,9;
-260;3,8;0,236;0,078;562,7;
-259,5;2,1;0,198;0,096;562,8;
-259;6,1;0,145;0,064;562,7;
-258,5;4,3;0,185;0,063;562,7;
-258;2,2;0,242;0,092;562,6;
-257,5;3,2;0,188;0,072;562,5;
-257;1,9;0,246;0,082;562,5;
-256,5;3,8;0,172;0,049;562,5;
-256;2,9;0,211;0,069;562,4;
-255,5;4,1;0,173;0,053;562,3;
-255;2,9;0,218;0,062;562,3;
-254,5;3,3;0,172;0,085;562,2;
-254;3;0,189;0,054;562,2;
-253,5;3,1;0,228;0,1;562,1;
-253;3,2;0,191;0,063;562,1;
-252,5;4,2;0,17;0,056;562;
-252;6,2;0,167;0,044;561,9;
-251,5;0,7;0,251;0,093;561,9;
-251;3,6;0,18;0,073;563,1;
-250,5;4;0,174;0,061;563;
-250;3,9;0,183;0,072;562,9;
-249,5;2,3;0,23;0,077;562,9;
-249;3,1;0,206;0,076;562,8;
-248,5;5,2;0,149;0,061;562,8;
-248;4,1;0,198;0,076;562,7;
-247,5;3,8;0,158;0,062;562,7;
-247;2,8;0,222;0,108;562,6;
-246,5;3,6;0,172;0,051;562,6;
-246;5,5;0,168;0,057;562,5;
-245,5;3,2;0,214;0,062;562,5;
-245;5;0,163;0,052;562,5;
-244,5;5;0,189;0,086;562,4;
-244;2;0,241;0,076;562,4;
-243,5;3,7;0,165;0,039;562,4;
-243;3,8;0,217;0,081;562,3;
-242,5;0,7;0,223;0,111;562,3;
-242;2,5;0,216;0,059;562,3;
-241,5;2,8;0,213;0,054;562,3;
-241;1,6;0,204;0,107;563,3;
-240,5;6,3;0,192;0,04;563,2;
-240;4,7;0,179;0,054;563,2;
-239,5;7,1;0,145;0,033;563,1;
-239;4,7;0,193;0,073;563,1;
-238,5;1,8;0,217;0,093;563,1;
-238;3,8;0,191;0,059;563;
-237,5;3,6;0,199;0,087;563;
-237;4,5;0,202;0,049;562,9;
-236,5;3,9;0,146;0,056;562,9;
-236;4,7;0,221;0,057;562,8;
-235,5;3,4;0,199;0,069;562,7;
-235;4,6;0,18;0,045;562,7;
-234,5;4,1;0,191;0,078;562,6;
-234;2,9;0,206;0,045;562,6;
-233,5;4,1;0,155;0,071;562,6;
-233;3,9;0,216;0,073;562,4;
-232,5;2,3;0,219;0,061;562,4;
-232;2;0,18;0,056;562,4;
-231,5;5,1;0,187;0,063;562,3;
-231;1,7;0,231;0,08;563,1;
-230,5;4,4;0,164;0,057;563,1;
-230;4,9;0,18;0,074;563,1;
-229,5;3,9;0,212;0,068;563;
-229;3,4;0,157;0,076;562,9;
-228,5;4,2;0,218;0,073;562,8;
-228;4,7;0,178;0,044;562,8;
-227,5;4,8;0,164;0,074;562,8;
-227;5,6;0,185;0,056;562,7;
-226,5;1,9;0,207;0,057;562,7;
-226;5,5;0,177;0,061;562,6;
-225,5;3,2;0,207;0,082;562,5;
-225;5,7;0,16;0,062;562,6;
-224,5;3;0,199;0,051;562,5;
-224;0,6;0,281;0,095;562,4;
-223,5;3,1;0,185;0,067;562,5;
-223;5,6;0,169;0,067;562,4;
-222,5;2,7;0,218;0,088;562,4;
-222;3;0,162;0,049;562,3;
-221,5;2,8;0,207;0,08;562,3;
-221;2,2;0,197;0,068;563,4;
-220,5;2,6;0,236;0,062;563,3;
-220;2,5;0,187;0,048;563,3;
-219,5;5;0,198;0,061;563,2;
-219;4,4;0,174;0,061;563,1;
-218,5;5,1;0,174;0,043;563,1;
-218;3,7;0,212;0,061;563,1;
-217,5;3,6;0,18;0,09;563;
-217;3,8;0,196;0,061;562,9;
-216,5;2,5;0,203;0,054;562,9;
-216;2,9;0,23;0,076;562,7;
-215,5;2,5;0,202;0,061;562,8;
-215;2,2;0,202;0,067;562,7;
-214,5;5,7;0,174;0,067;562,6;
-214;4,3;0,191;0,068;562,6;
-213,5;5,1;0,167;0,039;562,6;
-213;3,5;0,23;0,086;562,5;
-212,5;2;0,219;0,069;562,4;
-212;3,9;0,179;0,067;562,4;
-211,5;2,2;0,212;0,087;562,4;
-211;2,3;0,247;0,098;563,3;
-210,5;3,9;0,178;0,081;563,1;
-210;3,4;0,174;0,067;563,1;
-209,5;4,4;0,185;0,069;563;
-209;5,7;0,144;0,044;563;
-208,5;4,6;0,201;0,071;562,9;
-208;3,2;0,188;0,066;562,9;
-207,5;3,9;0,194;0,057;562,9;
-207;3,4;0,214;0,077;562,8;
-206,5;2,9;0,178;0,101;562,7;
-206;5,3;0,189;0,066;562,7;
-205,5;3;0,213;0,056;562,7;
-205;1,9;0,211;0,069;562,7;
-204,5;3,6;0,209;0,077;562,6;
-204;5,4;0,177;0,047;562,5;
-203,5;5,8;0,162;0,049;562,6;
-203;2,7;0,204;0,078;562,5;
-202,5;3,3;0,192;0,061;562,5;
-202;5,2;0,163;0,066;562,4;
-201,5;3,9;0,214;0,093;562,3;
-201;3,7;0,175;0,074;563,4;
-200,5;4,6;0,183;0,044;563,3;
-200;4,5;0,196;0,066;563,3;
-199,5;2,9;0,208;0,076;563,2;
-199;3,1;0,187;0,091;563,2;
-198,5;2,3;0,194;0,064;563,1;
-198;4,2;0,193;0,088;563,1;
-197,5;2,1;0,248;0,081;563;
-197;2,3;0,187;0,064;563;
-196,5;6;0,148;0,034;562,8;
-196;4;0,196;0,068;562,9;
-195,5;3,1;0,218;0,11;562,8;
-195;4,3;0,194;0,061;562,7;
-194,5;4,8;0,168;0,072;562,7;
-194;5,6;0,178;0,078;562,6;
-193,5;5,7;0,155;0,068;562,6;
-193;4,2;0,169;0,063;562,5;
-192,5;3,1;0,203;0,081;562,5;
-192;4,3;0,177;0,062;562,4;
-191,5;3,4;0,209;0,078;562,3;
-191;3,5;0,169;0,043;563,1;
-190,5;2,2;0,218;0,085;563;
-190;1,1;0,265;0,102;562,9;
-189,5;6,1;0,112;0,047;562,9;
-189;4;0,197;0,062;562,9;
-188,5;2,6;0,233;0,057;562,8;
-188;2,5;0,206;0,063;562,8;
-187,5;3,5;0,175;0,1;562,7;
-187;2,8;0,183;0,085;562,7;
-186,5;3,6;0,202;0,051;562,6;
-186;6,1;0,182;0,035;562,6;
-185,5;3,1;0,216;0,081;562,5;
-185;4,3;0,16;0,047;562,5;
-184,5;6,1;0,185;0,054;562,5;
-184;4,1;0,218;0,028;562,5;
-183,5;5;0,15;0,054;562,5;
-183;4,8;0,18;0,101;562,3;
-182,5;1,4;0,222;0,105;562,3;
-182;1;0,182;0,082;562,3;
-181,5;2,9;0,227;0,072;562,2;
-181;2,7;0,204;0,082;563,3;
-180,5;3;0,185;0,068;563,2;
-180;5,2;0,169;0,064;563,2;
-179,5;2,5;0,208;0,074;563,2;
-179;3,1;0,222;0,066;563,1;
-178,5;3,6;0,198;0,066;563,1;
-178;4,2;0,185;0,061;563;
-177,5;6,2;0,168;0,057;562,9;
-177;3,8;0,192;0,068;562,9;
-176,5;3,6;0,209;0,069;562,8;
-176;1,9;0,208;0,067;562,8;
-175,5;2,5;0,217;0,08;562,7;
-175;2;0,246;0,069;562,6;
-174,5;3,2;0,179;0,072;562,5;
-174;3,6;0,207;0,064;562,4;
-173,5;3,9;0,199;0,061;562,5;
-173;2,9;0,224;0,062;562,4;
-172,5;5,3;0,14;0,052;562,4;
-172;4,5;0,217;0,048;562,3;
-171,5;5,1;0,207;0,048;562,3;
-171;3,2;0,167;0,056;563,1;
-170,5;4,1;0,175;0,062;563,2;
-170;4,8;0,226;0,048;563,1;
-169,5;3,9;0,216;0,068;563,1;
-169;3,9;0,179;0,04;563;
-168,5;5,8;0,168;0,044;563;
-168;4,8;0,203;0,045;562,9;
-167,5;0,9;0,204;0,09;562,8;
-167;5,8;0,163;0,048;562,9;
-166,5;2,4;0,238;0,103;562,8;
-166;3,4;0,18;0,054;562,7;
-165,5;5;0,184;0,064;562,7;
-165;5,1;0,179;0,042;562,6;
-164,5;3;0,192;0,066;562,7;
-164;6;0,17;0,047;562,6;
-163,5;5;0,194;0,048;562,5;
-163;3,5;0,193;0,081;562,5;
-162,5;6,1;0,16;0,052;562,5;
-162;3,8;0,188;0,064;562,4;
-161,5;3,8;0,199;0,051;562,4;
-161;2,2;0,222;0,078;563,5;
-160,5;3,8;0,189;0,063;563,3;
-160;2,2;0,204;0,087;563,3;
-159,5;5;0,183;0,073;563,3;
-159;2,6;0,184;0,049;563,2;
-158,5;2,5;0,196;0,086;563,1;
-158;3;0,241;0,057;563,1;
-157,5;3,4;0,217;0,053;563,1;
-157;3,4;0,164;0,063;563;
-156,5;3,6;0,209;0,078;562,9;
-156;3,3;0,219;0,058;562,9;
-155,5;2,2;0,211;0,068;562,9;
-155;4,8;0,169;0,071;562,8;
-154,5;3,4;0,218;0,071;562,7;
-154;3,5;0,183;0,066;562,6;
-153,5;4,4;0,174;0,068;562,6;
-153;2,4;0,188;0,085;562,5;
-152,5;5,1;0,201;0,062;562,5;
-152;2,2;0,23;0,056;562,4;
-151,5;5;0,179;0,043;562,4;
-151;3,6;0,211;0,077;563,2;
-150,5;3,4;0,202;0,073;563,1;
-150;1,8;0,218;0,063;563,1;
-149,5;3,8;0,163;0,066;563;
-149;3,2;0,226;0,062;563;
-148,5;1,8;0,222;0,048;563;
-148;5,1;0,149;0,057;562,9;
-147,5;2,6;0,243;0,081;562,8;
-147;1,2;0,209;0,064;562,8;
-146,5;4,1;0,219;0,081;562,8;
-146;2,7;0,211;0,086;562,6;
-145,5;6,5;0,188;0,048;562,6;
-145;3,4;0,18;0,068;562,6;
-144,5;2,9;0,184;0,064;562,6;
-144;3;0,204;0,069;562,6;
-143,5;2,8;0,175;0,071;562,5;
-143;3,8;0,208;0,086;562,5;
-142,5;5,1;0,155;0,056;562,5;
-142;3,9;0,212;0,064;562,4;
-141,5;4,7;0,159;0,069;562,3;
-141;6,2;0,155;0,057;563,4;
-140,5;2,1;0,214;0,064;563,3;
-140;4,9;0,175;0,038;563,3;
-139,5;2,6;0,248;0,072;563,2;
-139;2,1;0,212;0,047;563,1;
-138,5;4,8;0,144;0,053;563,1;
-138;2,6;0,236;0,085;562,9;
-137,5;3,8;0,196;0,076;563;
-137;3,3;0,168;0,066;562,9;
-136,5;1,7;0,218;0,058;562,8;
-136;1,5;0,243;0,083;562,8;
-135,5;2,5;0,204;0,048;562,8;
-135;5,4;0,187;0,058;562,7;
-134,5;3,1;0,219;0,085;562,7;
-134;3;0,196;0,064;562,6;
-133,5;3,7;0,211;0,064;562,5;
-133;1;0,227;0,087;562,4;
-132,5;2,6;0,191;0,063;562,3;
-132;4;0,208;0,076;562,4;
-131,5;2,8;0,188;0,076;562,3;
-131;1,5;0,191;0,066;563,1;
-130,5;3,5;0,184;0,072;563;
-130;1,9;0,208;0,098;563;
-129,5;2,6;0,182;0,074;562,9;
-129;2,5;0,204;0,074;562,7;
-128,5;4,7;0,184;0,066;562,8;
-128;5,6;0,139;0,051;562,7;
-127,5;4,3;0,169;0,077;562,7;
-127;5,2;0,184;0,064;562,6;
-126,5;4,9;0,178;0,057;562,6;
-126;3,6;0,18;0,095;562,5;
-125,5;3;0,188;0,064;562,5;
-125;4,4;0,175;0,074;562,5;
-124,5;5;0,203;0,086;562,5;
-124;3,6;0,148;0,059;562,4;
-123,5;6,2;0,169;0,039;562,4;
-123;3,3;0,217;0,076;562,4;
-122,5;3;0,144;0,039;562,3;
-122;3,7;0,256;0,097;562,2;
-121,5;3;0,197;0,058;562,2;
-121;4,8;0,164;0,04;563,5;
-120,5;3,9;0,211;0,057;563,3;
-120;5,4;0,175;0,083;563,3;
-119,5;3,8;0,209;0,059;563,3;
-119;3,1;0,174;0,072;563,1;
-118,5;1,7;0,256;0,083;563,1;
-118;4,8;0,157;0,082;563,1;
-117,5;4,8;0,168;0,032;563,1;
-117;4,7;0,17;0,077;563;
-116,5;4,3;0,183;0,061;563;
-116;2,2;0,226;0,114;562,9;
-115,5;0,7;0,204;0,095;562,9;
-115;4,9;0,201;0,063;562,7;
-114,5;4,6;0,192;0,08;562,6;
-114;2,8;0,216;0,088;562,7;
-113,5;3;0,144;0,083;562,6;
-113;2,2;0,216;0,087;562,6;
-112,5;4,5;0,245;0,092;562,4;
-112;4,1;0,133;0,033;562,4;
-111,5;2,9;0,192;0,059;562,4;
-111;2,5;0,24;0,096;563,4;
-110,5;1,2;0,23;0,08;563,3;
-110;2,9;0,211;0,068;563,3;
-109,5;4,2;0,174;0,068;563,1;
-109;5,2;0,169;0,037;563,1;
-108,5;3,5;0,196;0,053;563,1;
-108;4,6;0,196;0,058;563,1;
-107,5;4;0,173;0,066;563;
-107;4,4;0,198;0,081;563;
-106,5;3,6;0,165;0,053;562,9;
-106;2,8;0,211;0,062;562,9;
-105,5;2,6;0,231;0,072;562,8;
-105;2,7;0,188;0,077;562,9;
-104,5;4,5;0,202;0,047;562,7;
-104;3,4;0,207;0,061;562,7;
-103,5;3,3;0,222;0,066;562,7;
-103;4,6;0,174;0,045;562,6;
-102,5;4,8;0,174;0,053;562,6;
-102;4,9;0,165;0,028;562,6;
-101,5;2,9;0,233;0,045;562,5;
-101;3,4;0,201;0,086;563,3;
-100,5;3,2;0,16;0,045;563,2;
-100;4,5;0,216;0,052;563,2;
-99,5;5;0,188;0,061;563,1;
-99;2,2;0,202;0,093;563,1;
-98,5;4,9;0,154;0,034;563,1;
-98;3,3;0,192;0,071;563;
-97,5;3,4;0,208;0,057;563;
-97;2,5;0,214;0,072;562,9;
-96,5;1,2;0,217;0,081;562,8;
-96;3,3;0,206;0,032;562,8;
-95,5;2,9;0,233;0,082;562,7;
-95;4,3;0,196;0,059;562,8;
-94,5;3,8;0,18;0,054;562,7;
-94;4,2;0,185;0,068;562,6;
-93,5;3,9;0,214;0,083;562,5;
-93;1;0,213;0,083;562,4;
-92,5;5,4;0,134;0,037;562,4;
-92;3,3;0,222;0,087;562,4;
-91,5;3,9;0,192;0,071;562,4;
-91;5,9;0,158;0,047;563,5;
-90,5;4,3;0,199;0,072;563,4;
-90;4,2;0,216;0,058;563,3;
-89,5;4,3;0,133;0,071;563,3;
-89;3,3;0,208;0,077;563,3;
-88,5;2,4;0,199;0,071;563,2;
-88;4,4;0,18;0,058;563,1;
-87,5;4,7;0,183;0,072;563,1;
-87;2,5;0,221;0,068;563,1;
-86,5;5,2;0,189;0,053;563;
-86;7,8;0,116;0,038;563;
-85,5;4,3;0,185;0,076;562,8;
-85;3,9;0,211;0,062;562,9;
-84,5;4,9;0,191;0,045;562,8;
-84;5,3;0,197;0,033;562,8;
-83,5;5,7;0,145;0,063;562,8;
-83;2,7;0,222;0,068;562,7;
-82,5;0,8;0,226;0,068;562,7;
-82;2,6;0,228;0,078;562,6;
-81,5;3;0,203;0,066;562,6;
-81;4,6;0,174;0,044;563,7;
-80,5;5,1;0,197;0,045;563,6;
-80;2,2;0,206;0,066;563,5;
-79,5;3,2;0,198;0,074;563,5;
-79;3,6;0,199;0,069;563,4;
-78,5;6,1;0,164;0,047;563,3;
-78;2,9;0,208;0,081;563,3;
-77,5;4,4;0,144;0,045;563,3;
-77;4,1;0,204;0,064;563,2;
-76,5;4,8;0,184;0,053;563,2;
-76;4,1;0,212;0,074;563,1;
-75,5;5,1;0,159;0,061;563,1;
-75;3,2;0,169;0,093;563;
