t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-378;1;0,002;0,008;561,6;
-377,5;1,2;0,022;0,02;561,6;
-377;1,1;-0,002;0,018;561,5;
-376,5;0,9;-0,006;-0,014;561,5;
-376;0,6;-0,007;-0,013;561,4;
-375,5;0,4;0;0,014;561,5;
-375;0,3;0,017;-0,014;561,3;
-374,5;0,9;-0,006;-0,013;561,3;
-374;0,4;-0,007;0,003;561,3;
-373,5;0,5;-0,009;0,001;561,3;
-373;0,3;-0,005;-0,001;561,2;
-372,5;0;0,003;0;561,2;
-372;0,6;-0,002;0,008;561,1;
-371,5;1,1;0,017;0,027;561,2;
-371;0,3;0,003;0;561,1;
-370,5;1;0;0,016;561;
-370;0,6;0;0,004;561;
-369,5;0,6;0,008;0;561;
-369;0,1;0,013;0,009;561,3;
-368,5;1,1;0;-0,001;561,9;
-368;0,7;-0,019;0;561,9;
-367,5;0,4;-0,014;-0,001;561,8;
-367;0,3;0,005;0,001;561,7;
-366,5;1;-0,015;-0,004;561,7;
-366;0,5;0;-0,012;561,6;
-365,5;1,1;0,023;-0,008;561,6;
-365;1,3;0,012;0,003;561,5;
-364,5;1,4;0,004;-0,018;561,5;
-364;0,4;-0,004;0,006;561,5;
-363,5;1;0,003;0,013;561,3;
-363;0,9;-0,002;-0,01;561,4;
-362,5;0,2;-0,006;-0,015;561,3;
-362;1,6;-0,023;-0,022;561,2;
-361,5;0,1;-0,002;-0,012;561,1;
-361;1;0,016;0,01;561,1;
-360,5;0,3;0,002;0,009;561,1;
-360;0,3;0,003;0,001;561;
-359,5;0,6;-0,021;0,01;561;
-359;0,7;0,002;0,01;561,3;
-358,5;0,2;-0,005;-0,024;561,8;
-358;0,9;0,016;-0,032;561,8;
-357,5;0,9;0;-0,012;561,6;
-357;0,9;0,016;0,005;561,6;
-356,5;1,4;-0,014;-0,003;561,5;
-356;1,6;-0,033;0,001;561,5;
-355,5;0,1;-0,001;-0,003;561,6;
-355;0,4;-0,002;0,01;561,4;
-354,5;0,4;0,003;0,02;561,4;
-354;1,2;-0,025;0,005;561,4;
-353,5;0,8;-0,002;-0,019;561,3;
-353;0,4;0;0,004;561,3;
-352,5;0,8;-0,001;0,018;561,3;
-352;0,8;0,005;0,029;561,2;
-351,5;1,4;0,018;0,023;561,2;
-351;0,5;-0,016;-0,012;561,2;
-350,5;0,4;0,012;-0,009;561,1;
-350;0,4;-0,009;-0,009;561,1;
-349,5;0,6;-0,009;0;561;
-349;1;0,005;0,022;561,4;
-348,5;0,9;0,016;0,01;561,9;
-348;0,8;-0,009;0,004;561,8;
-347,5;0,4;0,005;-0,001;561,8;
-347;1,1;0;0,016;561,7;
-346,5;0,5;0,008;0,004;561,7;
-346;2;0;0,01;561,7;
-345,5;0,2;0,004;-0,013;561,6;
-345;1,8;0,041;0,015;561,5;
-344,5;0,6;-0,009;0,008;561,4;
-344;0,5;-0,011;-0,01;561,4;
-343,5;0,4;-0,004;0,006;561,4;
-343;0,3;-0,011;0,005;561,3;
-342,5;0,9;-0,001;0,016;561,4;
-342;1,1;0,005;0,016;561,3;
-341,5;0,3;0,012;-0,001;561,2;
-341;0,4;-0,007;0,005;561,1;
-340,5;0,8;-0,016;0,014;561,1;
-340;0,1;0;-0,004;560,9;
-339,5;0,3;0;-0,013;561;
-339;0,8;0,007;0,003;561,2;
-338,5;2;0,039;0,006;561,7;
-338;0,1;0,004;-0,009;561,6;
-337,5;0;0;0,005;561,6;
-337;1,5;0,007;0,018;561,5;
-336,5;0,3;0,01;-0,005;561,5;
-336;1;-0,033;0,011;561,5;
-335,5;0,3;0,003;0,001;561,4;
-335;0,2;0,002;-0,004;561,4;
-334,5;0,6;-0,011;-0,004;561,3;
-334;0,4;-0,001;-0,003;561,2;
-333,5;0,3;0,003;-0,008;561,2;
-333;0,2;-0,01;0,011;561,2;
-332,5;0,3;-0,01;0,011;561,2;
-332;0,6;-0,006;0,014;561,1;
-331,5;0,6;0,016;-0,01;561,1;
-331;1;0,034;-0,004;561,1;
-330,5;0,4;-0,015;0,011;561,1;
-330;1,1;-0,01;-0,028;560,9;
-329,5;0,4;-0,004;0,009;561;
-329;0,4;0,002;-0,01;561,2;
-328,5;0,6;0,008;0,01;561,8;
-328;0,6;0,008;0,01;561,6;
-327,5;0,1;0,01;0,003;561,6;
-327;0,9;0,01;-0,028;561,6;
-326,5;0,9;0,009;0,014;561,5;
-326;0,9;0,007;-0,014;561,5;
-325,5;1;-0,02;-0,008;561,4;
-325;0,6;-0,015;0,01;561,4;
-324,5;0,7;-0,006;-0,015;561,4;
-324;0,5;-0,009;0,013;561,3;
-323,5;0,5;-0,011;-0,009;561,3;
-323;0,9;-0,016;0,011;561,2;
-322,5;0;0,009;0;561,1;
-322;0,3;0,008;-0,005;561,1;
-321,5;0,4;-0,012;0,001;561,1;
-321;1,3;-0,019;-0,029;561;
-320,5;0,3;0,012;-0,006;560,9;
-320;1,2;0,004;0,025;560,9;
-319,5;0,9;0;-0,013;560,8;
-319;1,5;0,026;0,033;561,1;
-318,5;0,6;0,008;-0,012;561,8;
-318;0,2;0,008;-0,005;561,8;
-317,5;0,4;0,003;-0,017;561,7;
-317;0,8;0,013;0,014;561,6;
-316,5;0,7;0,016;-0,023;561,7;
-316;0,3;0,003;-0,006;561,7;
-315,5;0,4;-0,011;-0,003;561,5;
-315;1,3;0,016;-0,02;561,5;
-314,5;1;-0,005;-0,023;561,4;
-314;0,5;-0,004;-0,003;561,4;
-313,5;0,5;0,007;0,008;561,3;
-313;1;-0,019;-0,003;561,3;
-312,5;0,2;0,007;0,001;561,3;
-312;0,3;-0,009;0,013;561,3;
-311,5;1,3;0,01;0,013;561,2;
-311;0,3;-0,004;0,024;561,2;
-310,5;0,7;-0,007;-0,013;561,1;
-310;0,5;-0,006;0,011;561,1;
-309,5;0,6;-0,009;0,003;561,1;
-309;1,2;0;0,043;561,4;
-308,5;0,4;0,009;-0,005;561,8;
-308;0,2;-0,005;0,009;561,8;
-307,5;0,9;-0,01;0,004;561,7;
-307;0,2;-0,009;0,022;561,7;
-306,5;1,2;-0,026;-0,018;561,6;
-306;0,4;0,003;-0,014;561,5;
-305,5;0,6;0,005;-0,001;561,5;
-305;0,7;0,002;0,008;561,5;
-304,5;1,2;-0,006;-0,019;561,4;
-304;0,2;0,014;-0,003;561,4;
-303,5;0,7;-0,001;-0,001;561,3;
-303;1;0,003;0,006;561,2;
-302,5;1,3;0,033;0,014;561,2;
-302;0,6;0,022;0,004;561,2;
-301,5;1,2;0,017;0,009;561,1;
-301;0,1;0,003;0,006;561,1;
-300,5;0,1;-0,004;0,004;561;
-300;0,4;-0,005;0,01;561;
-299,5;0;0,004;0,009;560,8;
-299;1,2;0,031;-0,006;561,2;
-298,5;0,5;0,014;-0,001;561,8;
-298;0,6;0,01;0,011;561,7;
-297,5;0,2;0,003;0;561,7;
-297;0,3;-0,017;-0,003;561,6;
-296,5;0,7;0,002;-0,003;561,6;
-296;0,3;0,01;-0,009;561,5;
-295,5;0,1;0,009;0;561,5;
-295;0,5;-0,005;-0,004;561,4;
-294,5;1;0,002;0,019;561,4;
-294;0,5;0,012;0,008;561,3;
-293,5;0,4;0,013;-0,001;561,2;
-293;0,3;0,012;-0,009;561,3;
-292,5;1;0,005;-0,013;561,3;
-292;0,6;-0,002;-0,001;561,3;
-291,5;0,7;-0,004;-0,025;561,2;
-291;0,5;-0,004;0,013;561,2;
-290,5;0,6;0,017;-0,003;561,1;
-290;1,1;-0,011;-0,012;561,1;
-289,5;0,7;-0,009;0,011;561;
-289;0,3;-0,004;-0,009;561,3;
-288,5;0,5;0;-0,012;561,9;
-288;1,1;0,019;0,018;561,8;
-287,5;0,7;-0,004;-0,006;561,8;
-287;0;-0,012;0,006;561,8;
-286,5;0,5;-0,002;0,004;561,7;
-286;0,1;0,003;0,003;561,6;
-285,5;0,8;-0,009;-0,001;561,6;
-285;0;0,002;0,001;561,6;
-284,5;0,6;0,016;-0,01;561,5;
-284;0,1;0;0,001;561,5;
-283,5;1,3;0,003;-0,022;561,4;
-283;0,9;0,007;0,006;561,3;
-282,5;0,5;0,002;-0,012;561,2;
-282;0,4;-0,011;-0,004;561,2;
-281,5;0,5;0,003;0,003;561,2;
-281;1,1;0,018;0,004;561,1;
-280,5;1,2;-0,006;0,015;561,1;
-280;0,4;-0,006;0,004;561,1;
-279,5;0,4;0,009;-0,001;561;
-279;0,1;-0,002;0;561,3;
-278,5;0,3;-0,014;-0,008;561,9;
-278;0,5;-0,001;-0,001;561,7;
-277,5;0,4;0,01;-0,012;561,8;
-277;0,5;0,018;-0,01;561,6;
-276,5;0,3;0,003;0,008;561,6;
-276;1,1;0,018;0,008;561,5;
-275,5;0,2;-0,009;0,003;561,5;
-275;0,4;0,007;0,013;561,5;
-274,5;1;0,019;0;561,5;
-274;0,1;0,002;0;561,4;
-273,5;0,6;0,013;0;561,4;
-273;0,6;0,017;0;561,4;
-272,5;0,3;0,019;-0,004;561,3;
-272;1;0,002;-0,006;561,3;
-271,5;0,4;0,007;-0,009;561,3;
-271;1,2;0,012;-0,023;561,3;
-270,5;1;0,005;0,006;561,2;
-270;0,2;-0,002;-0,005;561,1;
-269,5;0,6;0,01;0,018;561,1;
-269;1,3;-0,009;-0,022;561,4;
-268,5;0,3;0,008;0,009;561,9;
-268;0,2;-0,017;0,004;561,8;
-267,5;0,2;-0,015;0,003;561,8;
-267;0,1;-0,012;0,004;561,7;
-266,5;0,6;-0,009;0,016;561,7;
-266;1,2;0,013;-0,006;561,6;
-265,5;0,2;-0,005;0,005;561,5;
-265;0,6;0,003;0,006;561,5;
-264,5;0,3;-0,02;0;561,5;
-264;1;-0,006;-0,009;561,4;
-263,5;0,6;-0,02;-0,013;561,3;
-263;0,3;-0,006;-0,015;561,3;
-262,5;0,2;0,004;-0,006;561,3;
-262;0,9;0;0,02;561,2;
-261,5;0,4;-0,015;0,015;561,2;
-261;0;-0,007;-0,008;561,1;
-260,5;0,6;0,007;0,005;561,1;
-260;0,4;-0,007;0,003;561,1;
-259,5;0,6;0;0,001;561;
-259;1;-0,002;-0,034;561,3;
-258,5;0,6;0,007;-0,008;561,6;
-258;1,3;0,024;0,001;561,6;
-257,5;1,2;-0,011;0;561,5;
-257;1,2;-0,009;-0,01;561,6;
-256,5;0,9;-0,01;0,015;561,5;
-256;0,3;-0,007;0;561,4;
-255,5;0,4;-0,001;-0,008;561,4;
-255;0,5;-0,005;0,005;561,3;
-254,5;0,9;-0,004;0,008;561,3;
-254;0,6;0;0,01;561,2;
-253,5;0,5;0,013;-0,006;561,1;
-253;0,6;-0,007;0,008;561,2;
-252,5;0,4;-0,004;0,004;561,1;
-252;0,2;0,003;-0,009;561,1;
-251,5;0,4;0,012;-0,001;561,1;
-251;0,1;0,008;-0,015;561,1;
-250,5;0,8;-0,014;-0,006;561;
-250;0,7;-0,016;0,014;561;
-249,5;1;-0,02;-0,004;560,9;
-249;0;0,003;0,006;561,2;
-248,5;0,8;-0,026;-0,008;561,9;
-248;0,2;0;-0,009;561,8;
-247,5;0,9;0,002;-0,003;561,7;
-247;1,3;0,024;-0,012;561,7;
-246,5;1,2;0,012;0,013;561,6;
-246;0,7;-0,012;0,014;561,5;
-245,5;0,4;-0,002;-0,008;561,5;
-245;0,5;-0,001;-0,003;561,5;
-244,5;0,3;0,004;0,011;561,5;
-244;0,7;0,007;0,008;561,4;
-243,5;0,4;0,002;-0,003;561,3;
-243;0,2;-0,009;-0,017;561,2;
-242,5;0,6;-0,001;0,014;561,2;
-242;0,9;0,016;-0,009;561,2;
-241,5;0,8;-0,019;-0,001;561,1;
-241;0,7;0,008;-0,017;561,1;
-240,5;1,1;0,012;0,004;561,1;
-240;0,6;-0,015;0,014;561;
-239,5;1;-0,007;-0,001;560,9;
-239;0,6;0;0;561,3;
-238,5;0,4;-0,012;0,011;561,9;
-238;0,3;0,003;-0,004;561,8;
-237,5;0,8;0;-0,014;561,8;
-237;0,3;0,01;-0,013;561,6;
-236,5;0,4;0;0,005;561,6;
-236;0,3;-0,001;0;561,7;
-235,5;0,9;-0,006;0,013;561,6;
-235;0,3;-0,009;-0,005;561,5;
-234,5;0,1;0;-0,005;561,5;
-234;0,9;0,018;-0,009;561,4;
-233,5;0,2;0,005;0,011;561,3;
-233;0,1;0;-0,003;561,4;
-232,5;0,6;-0,006;-0,013;561,4;
-232;0,2;0;0,004;561,3;
-231,5;0,2;-0,004;-0,009;561,2;
-231;0,4;-0,004;-0,012;561,2;
-230,5;1,4;0,002;0,015;561,2;
-230;0,4;-0,004;-0,005;561,1;
-229,5;0,3;0,005;-0,003;561,1;
-229;0,5;0,005;0,013;561,4;
-228,5;0,3;0;-0,005;561,9;
-228;0,7;0;-0,017;561,9;
-227,5;0,7;-0,005;-0,008;561,8;
-227;0,6;-0,015;-0,003;561,7;
-226,5;0,5;0,003;0,024;561,7;
-226;1,2;0,002;-0,018;561,6;
-225,5;0,5;-0,011;0,009;561,5;
-225;0,1;0,004;0;561,6;
-224,5;0,1;0,004;0;561,5;
-224;0,6;0,007;0,005;561,5;
-223,5;0,8;0,01;-0,017;561,5;
-223;0,3;-0,004;-0,008;561,4;
-222,5;0,4;0;0,018;561,3;
-222;0,3;0,002;0,004;561,3;
-221,5;0,7;0,021;-0,009;561,2;
-221;1;0;0,016;561,1;
-220,5;0,4;-0,021;-0,012;561,1;
-220;0,5;0,013;-0,006;561,1;
-219,5;0,8;-0,01;0;561;
-219;0,7;-0,021;0,009;561,3;
-218,5;0,6;0;0;561,8;
-218;0,3;0,005;-0,014;561,8;
-217,5;1,7;0,01;0,028;561,8;
-217;0,1;0,002;0,005;561,6;
-216,5;0,8;0,016;0,001;561,6;
-216;0,9;-0,021;0;561,6;
-215,5;0,8;0,008;0,003;561,5;
-215;0,3;0,004;-0,005;561,5;
-214,5;1;0,005;0,011;561,4;
-214;0,7;0,01;-0,005;561,4;
-213,5;0,7;-0,001;0,015;561,4;
-213;0,5;0;0;561,3;
-212,5;0,3;0,003;-0,01;561,2;
-212;0,5;0,012;0,005;561,2;
-211,5;0,2;-0,016;0,003;561,2;
-211;0,6;0,008;0,004;561,2;
-210,5;0,9;0;0,02;561,2;
-210;0,3;0,005;0,011;561,1;
-209,5;0,8;0,013;-0,013;561,1;
-209;0,6;-0,015;0,018;561,3;
-208,5;0,8;0,003;-0,012;561,8;
-208;0,3;-0,006;-0,009;561,7;
-207,5;0,6;-0,009;0;561,6;
-207;0,8;-0,024;-0,006;561,6;
-206,5;0,1;0;-0,001;561,6;
-206;0,4;0,005;-0,012;561,5;
-205,5;0,6;-0,01;0;561,5;
-205;0,2;-0,001;0,006;561,5;
-204,5;0,8;-0,005;0;561,4;
-204;0,5;-0,01;0,008;561,4;
-203,5;1,5;-0,009;-0,015;561,3;
-203;0,9;-0,02;0;561,3;
-202,5;1,1;-0,012;-0,012;561,2;
-202;1;-0,006;-0,015;561,1;
-201,5;1,1;0,009;-0,001;561,1;
-201;0,8;0,012;-0,018;561,1;
-200,5;0,1;0,007;-0,006;561;
-200;0,5;-0,011;0,014;561;
-199,5;1,9;0,027;0,025;560,9;
-199;0,5;-0,007;0,004;561,2;
-198,5;0,3;0,004;0;561,6;
-198;0,3;-0,009;-0,009;561,6;
-197,5;0,7;-0,009;-0,006;561,5;
-197;0,9;0,032;-0,004;561,5;
-196,5;1,9;0,016;0,028;561,4;
-196;0,2;0;0;561,4;
-195,5;0,6;0;-0,014;561,4;
-195;0,5;0,003;-0,012;561,2;
-194,5;0,2;-0,005;0;561,2;
-194;1,7;0,012;0,03;561,2;
-193,5;0,2;0,01;0,008;561,1;
-193;0,5;0,022;0,008;561,2;
-192,5;0,9;-0,028;-0,003;561,1;
-192;2;-0,019;-0,014;561,1;
-191,5;1,4;-0,004;-0,02;561,1;
-191;0,4;-0,012;0,001;561,1;
-190,5;0,4;0,014;0,009;561;
-190;0,2;-0,005;0,001;561;
-189,5;0,7;0,007;-0,013;560,9;
-189;0,2;-0,002;0,008;561,2;
-188,5;0,3;0,008;0,013;561,6;
-188;0,5;0,008;-0,012;561,5;
-187,5;1,2;-0,019;-0,014;561,6;
-187;0,6;-0,006;0;561,5;
-186,5;0,7;-0,011;0,001;561,4;
-186;1;-0,015;0,018;561,4;
-185,5;0,3;0,005;-0,018;561,3;
-185;0,4;-0,01;0;561,3;
-184,5;0,1;0,007;-0,006;561,2;
-184;0,4;-0,005;-0,01;561,2;
-183,5;0,6;0,004;0,013;561,2;
-183;1,5;0,007;0,016;561,1;
-182,5;0,5;0,008;-0,005;561,1;
-182;0,2;0,004;-0,006;561;
-181,5;1,9;-0,025;-0,022;561;
-181;1,2;0,014;0,001;560,9;
-180,5;0,9;0,002;0,015;560,8;
-180;0,6;-0,02;0,018;560,7;
-179,5;1;0,01;0,013;560,8;
-179;0,8;-0,005;0,004;561,2;
-178,5;0,8;-0,007;-0,004;561,8;
-178;1,3;-0,03;-0,01;561,6;
-177,5;0,8;-0,012;0,005;561,6;
-177;0,6;0;-0,015;561,5;
-176,5;0,8;0,009;0,01;561,5;
-176;0,9;0,004;-0,001;561,5;
-175,5;0,3;-0,002;0,005;561,4;
-175;0,1;-0,001;-0,005;561,3;
-174,5;0,8;0,003;0,003;561,3;
-174;0,6;-0,009;0,016;561,3;
-173,5;1,4;0,008;0,014;561,2;
-173;1,3;0,018;0,025;561,2;
-172,5;0,4;0,004;-0,017;561,2;
-172;0;0;-0,005;561,2;
-171,5;0,4;0,002;0,008;561,2;
-171;1,8;-0,024;-0,028;561,1;
-170,5;0,9;-0,014;-0,001;561,1;
-170;0,7;-0,006;0,014;561,1;
-169,5;0,7;0,009;0,006;561;
-169;0,2;0,003;0,005;561,3;
-168,5;1;0,002;-0,022;561,9;
-168;1;-0,007;-0,024;561,8;
-167,5;0,2;0;0;561,8;
-167;0,7;0,003;-0,018;561,7;
-166,5;0,4;-0,002;-0,004;561,6;
-166;1,5;-0,006;-0,02;561,6;
-165,5;0,2;0,014;-0,006;561,6;
-165;0,5;-0,011;-0,001;561,6;
-164,5;0,3;-0,004;0,015;561,5;
-164;0,5;0,01;-0,01;561,4;
-163,5;0,5;0,008;0,004;561,4;
-163;1,1;0;-0,009;561,3;
-162,5;0,1;-0,001;-0,005;561,2;
-162;1,3;0,01;0,027;561,2;
-161,5;0,9;-0,009;-0,012;561,2;
-161;0,1;0,004;0;561,1;
-160,5;0,7;-0,004;-0,001;561,1;
-160;0,4;0;0,006;561;
-159,5;0,3;0,007;-0,01;560,9;
-159;0,4;0;0,014;561,3;
-158,5;1,1;0,014;0,009;561,8;
-158;0,5;0,013;0,02;561,7;
-157,5;0,5;0,017;-0,004;561,6;
-157;0,2;0;0,004;561,5;
-156,5;0,4;0;0,005;561,6;
-156;1;0,026;-0,02;561,5;
-155,5;0,6;0,018;-0,005;561,5;
-155;0,6;0,01;0,004;561,4;
-154,5;0,1;0;0,01;561,4;
-154;0,5;0,004;-0,01;561,4;
-153,5;0,6;-0,012;-0,014;561,3;
-153;1,2;-0,001;0,033;561,3;
-152,5;1,4;0,008;0,032;561,3;
-152;0,3;0,012;0,027;561,3;
-151,5;0,8;-0,016;0,024;561,2;
-151;0,3;-0,01;-0,012;561,2;
-150,5;0,5;0;0,018;561,2;
-150;0,1;-0,006;0,001;561,1;
-149,5;0,6;0,003;0,005;561;
-149;0,3;0,003;-0,001;561,4;
-148,5;0,7;-0,014;0,023;561,9;
-148;0,3;-0,01;0,006;561,9;
-147,5;0,2;-0,005;0,006;561,8;
-147;0,7;-0,014;0,015;561,8;
-146,5;0,3;-0,016;0,001;561,7;
-146;0,9;0,012;0,004;561,7;
-145,5;0,6;-0,007;-0,01;561,7;
-145;0,6;-0,001;-0,004;561,6;
-144,5;0,5;0,014;0,001;561,6;
-144;0,5;-0,016;-0,005;561,5;
-143,5;1,6;0,009;0,037;561,4;
-143;0,4;0,017;0,006;561,4;
-142,5;0,3;0;0,011;561,4;
-142;0,4;0;-0,009;561,3;
-141,5;1;-0,004;-0,027;561,2;
-141;1,3;-0,009;-0,009;561,2;
-140,5;1,5;0,012;0,014;561,1;
-140;0,3;-0,007;0,009;561,1;
-139,5;0,4;0,004;0,01;561,1;
-139;0,9;0,003;-0,005;561,3;
-138,5;0,8;-0,011;-0,012;561,9;
-138;1,1;-0,036;0;561,8;
-137,5;0,1;0,007;0;561,7;
-137;0,2;0,002;0;561,7;
-136,5;0,7;0,008;0,006;561,6;
-136;0,6;0,003;-0,005;561,6;
-135,5;0,6;-0,016;-0,003;561,5;
-135;1,8;0,014;0,019;561,5;
-134,5;0;0;0,013;561,5;
-134;1,3;-0,006;0,001;561,5;
-133,5;0,7;-0,009;-0,005;561,4;
-133;0,1;-0,006;0,015;561,4;
-132,5;0,1;-0,001;0,009;561,3;
-132;0;-0,001;-0,008;561,3;
-131,5;0,2;0,007;0,004;561,4;
-131;1,1;-0,007;-0,012;561,2;
-130,5;0,7;-0,019;-0,004;561,2;
-130;1,1;0,01;0,013;561,2;
-129,5;0,2;0,004;-0,003;561,2;
-129;0,4;-0,016;-0,008;561,4;
-128,5;0,8;0;0,006;562;
-128;1,4;0,016;-0,003;562;
-127,5;1,4;-0,012;-0,015;561,9;
-127;0,4;0,003;-0,024;561,9;
-126,5;0,7;-0,01;0;561,8;
-126;0,7;-0,012;0,013;561,7;
-125,5;0,9;0,023;-0,01;561,7;
-125;0,8;0,005;-0,001;561,7;
-124,5;0,5;0,012;-0,005;561,6;
-124;0,6;-0,01;-0,001;561,6;
-123,5;0,1;0,004;0;561,5;
-123;0,6;0,012;0;561,5;
-122,5;0,1;0,002;0,004;561,5;
-122;1,2;-0,016;-0,004;561,3;
-121,5;0,7;-0,001;-0,013;561,3;
-121;0,5;-0,011;-0,004;561,3;
-120,5;0,2;0;0,003;561,2;
-120;0,9;0,012;-0,008;561,1;
-119,5;1;0,016;0,019;561,1;
-119;0,6;-0,009;-0,009;561,4;
-118,5;0,3;0,002;0,003;561,9;
-118;0,6;-0,009;-0,009;561,9;
-117,5;1,1;-0,012;-0,01;561,9;
-117;0,7;-0,026;0;561,9;
-116,5;0,4;0,009;0,014;561,7;
-116;0,2;0,004;-0,003;561,8;
-115,5;0,4;-0,01;-0,005;561,6;
-115;0,6;0,022;-0,008;561,6;
-114,5;0,4;0;0,013;561,5;
-114;0,6;-0,011;0,016;561,5;
-113,5;0,8;-0,002;0,02;561,5;
-113;0,8;-0,005;-0,006;561,5;
-112,5;0,6;0,003;0,009;561,5;
-112;0,3;0,007;0,004;561,4;
-111,5;0,4;0;0,008;561,4;
-111;0,4;0,01;-0,008;561,3;
-110,5;0,4;-0,006;-0,009;561,2;
-110;0,7;0,017;0,004;561,3;
-109,5;0,4;0,003;0,009;561,3;
-109;0,9;0,019;0,003;561,5;
-108,5;0,9;-0,012;-0,006;562,2;
-108;0,4;-0,005;0,004;562,1;
-107,5;0,4;0,018;0;562;
-107;1,2;-0,007;-0,02;561,9;
-106,5;0,6;-0,019;0;561,9;
-106;0,5;0;-0,003;561,8;
-105,5;0,4;0,008;-0,014;561,8;
-105;0,3;-0,006;0,014;561,7;
-104,5;1,6;-0,021;-0,006;561,7;
-104;0,6;0,009;-0,005;561,6;
-103,5;0,6;-0,006;0,008;561,7;
-103;0,9;0,008;-0,014;561,6;
-102,5;0,7;-0,006;0,005;561,5;
-102;0,5;0,005;0,009;561,5;
-101,5;0,9;0,002;-0,02;561,4;
-101;0,3;-0,002;-0,003;561,4;
-100,5;0,1;-0,002;0,001;561,2;
-100;1,4;-0,004;-0,035;561,2;
-99,5;0,3;0,008;-0,003;561,1;
-99;1,6;0,007;0,01;561,5;
-98,5;0,5;-0,009;0,003;561,9;
-98;0,4;0,003;0,01;561,9;
-97,5;0,5;-0,012;0,019;561,9;
-97;0,6;-0,016;-0,004;561,7;
-96,5;0,5;-0,005;0,02;561,7;
-96;0,5;-0,006;0,008;561,7;
-95,5;1,7;-0,025;-0,017;561,7;
-95;0;0,004;0,001;561,6;
-94,5;0,8;0;0,013;561,5;
-94;0,3;0,009;0,009;561,5;
-93,5;0,8;0,012;0,006;561,5;
-93;1,2;-0,02;-0,008;561,5;
-92,5;0,8;-0,006;-0,018;561,4;
-92;1,3;0,017;-0,019;561,4;
-91,5;0,7;0,028;-0,024;561,4;
-91;1;0,018;-0,014;561,3;
-90,5;0,8;0,017;0;561,3;
-90;0,2;0,003;0,014;561,3;
-89,5;0,6;0;-0,012;561,2;
-89;0,8;0,005;0,015;561,5;
-88,5;0,4;-0,006;0,006;562;
-88;0,9;-0,02;0,005;562;
-87,5;0,5;0;-0,013;562;
-87;0,2;0,003;-0,004;561,9;
-86,5;0,5;-0,002;-0,006;561,9;
-86;0,3;-0,011;0,001;561,8;
-85,5;0,1;-0,004;-0,005;561,7;
