t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-368,5;2,4;-0,023;-0,012;561,1;
-368;1,4;-0,028;-0,003;561,1;
-367,5;1,3;-0,045;0,014;561,1;
-367;1,5;-0,017;0,008;561,1;
-366,5;2;-0,017;-0,001;560,9;
-366;2,2;-0,028;-0,006;560,9;
-365,5;1,7;-0,024;-0,006;560,9;
-365;1,5;-0,03;0,028;560,8;
-364,5;1,8;-0,058;-0,014;560,7;
-364;1,5;-0,02;0,001;560,7;
-363,5;0,3;-0,072;0,032;560,6;
-363;1,6;-0,007;0,006;560,7;
-362,5;1,9;-0,015;0,003;560,6;
-362;1,4;-0,033;0,018;560,4;
-361,5;1,2;-0,029;0,009;560,5;
-361;2,1;-0,016;0;560,5;
-360,5;1,1;-0,039;0,018;561,9;
-360;1,5;-0,045;-0,005;561,7;
-359,5;1,1;-0,038;0,034;561,8;
-359;0,6;-0,064;0,039;561,7;
-358,5;1,1;-0,023;0;561,6;
-358;1,6;-0,035;0,025;561,6;
-357,5;0,8;-0,031;0,008;561,5;
-357;1,9;-0,041;0,006;561,5;
-356,5;0,8;-0,046;0,016;561,4;
-356;2;-0,043;0,029;561,4;
-355,5;2,5;-0,01;0;561,3;
-355;1,8;-0,038;0,042;561,3;
-354,5;1,1;-0,051;0,032;561,2;
-354;0,8;-0,035;0,02;561,3;
-353,5;1,5;-0,038;0,005;561,2;
-353;1,6;-0,029;0,008;561,1;
-352,5;2,1;-0,023;-0,005;561,2;
-352;2,2;-0,01;0,011;561,1;
-351,5;0,4;-0,07;0,032;561,1;
-351;1;-0,051;0,005;561,1;
-350,5;1,4;-0,03;0,016;561,7;
-350;1,4;-0,029;0,03;561,6;
-349,5;1,3;-0,058;0,035;561,5;
-349;1,9;-0,02;-0,005;561,5;
-348,5;2,2;-0,036;0,042;561,4;
-348;0,4;-0,06;0,019;561,3;
-347,5;1,9;-0,035;0,029;561,4;
-347;1,8;-0,023;0,009;561,4;
-346,5;3;-0,01;0,032;561,1;
-346;2,1;-0,012;-0,001;561,2;
-345,5;1,5;-0,044;-0,003;561,2;
-345;1,7;-0,031;0,039;561,1;
-344,5;1,8;-0,021;0,023;561,1;
-344;0,8;-0,055;0,029;561,1;
-343,5;2,6;0;0,029;560,9;
-343;1,7;-0,03;0,029;560,9;
-342,5;2;-0,03;0,006;560,8;
-342;1,2;-0,049;0,009;560,7;
-341,5;2;-0,007;0,001;560,7;
-341;1,5;-0,029;0,02;560,7;
-340,5;2;-0,035;0,04;561,1;
-340;1,6;-0,03;0,034;561,1;
-339,5;0,9;-0,058;0,001;561;
-339;2,2;-0,016;-0,003;561;
-338,5;1,6;-0,033;0,03;560,9;
-338;1,7;-0,028;0,014;560,8;
-337,5;0,5;-0,053;0,015;560,7;
-337;1,1;-0,043;0,016;560,7;
-336,5;1,7;-0,028;0,015;560,7;
-336;1;-0,055;0,022;560,6;
-335,5;1,3;-0,02;0,005;560,7;
-335;1,4;-0,034;0,024;560,6;
-334,5;0,9;-0,055;0,035;560,6;
-334;1;-0,049;0,011;560,5;
-333,5;2,1;-0,021;0,011;560,5;
-333;1,2;-0,05;0,014;560,4;
-332,5;0,9;-0,079;0,028;560,5;
-332;0,9;-0,054;0,011;560,4;
-331,5;0,9;-0,048;0,023;560,4;
-331;1,3;-0,034;0,024;560,4;
-330,5;0,8;-0,034;0,015;560,9;
-330;1,5;-0,035;0,038;560,9;
-329,5;0,6;-0,077;0,019;560,8;
-329;0,9;-0,045;0,022;560,8;
-328,5;1,6;-0,043;-0,004;560,7;
-328;2,3;-0,009;0,015;560,7;
-327,5;0,6;-0,045;0,015;560,6;
-327;1,7;-0,016;0,006;560,6;
-326,5;1,7;-0,015;0,023;560,5;
-326;1,5;-0,041;-0,001;560,5;
-325,5;1,9;-0,031;0,029;560,4;
-325;1,6;-0,033;-0,005;560,5;
-324,5;1,5;-0,05;0,005;560,3;
-324;2,1;-0,012;0,018;560,3;
-323,5;1,8;-0,03;0,051;560,2;
-323;1,2;-0,029;0,025;560,1;
-322,5;0,4;-0,057;0,034;560,1;
-322;1,1;-0,014;0,004;560,1;
-321,5;1,4;-0,043;0,037;560;
-321;1,3;-0,041;0,009;560,1;
-320,5;1,2;-0,057;0,016;561,2;
-320;1,1;-0,039;0,018;561,1;
-319,5;0,5;-0,051;0,009;561,1;
-319;0,9;-0,057;0,033;561;
-318,5;2,3;-0,021;0,018;561;
-318;1,4;-0,034;0,034;560,9;
-317,5;0,9;-0,044;0,014;560,9;
-317;0,6;-0,023;0,019;560,8;
-316,5;1,1;-0,046;0,02;560,7;
-316;1,3;-0,035;0,023;560,7;
-315,5;1,6;-0,028;0,023;560,7;
-315;2;-0,029;0,033;560,7;
-314,5;1,4;-0,03;0,047;560,7;
-314;2,4;-0,031;0,037;560,6;
-313,5;1,3;-0,038;0,016;560,6;
-313;1,1;-0,034;0,006;560,5;
-312,5;1,6;-0,029;0,03;560,5;
-312;1,1;-0,034;0,018;560,5;
-311,5;0,6;-0,05;0,032;560,3;
-311;1,4;-0,045;0,009;560,5;
-310,5;2;-0,03;0,006;561,4;
-310;1,6;-0,041;0,004;561,4;
-309,5;1;-0,044;0;561,3;
-309;1;-0,031;0,001;561,2;
-308,5;1,2;-0,054;0,035;561,2;
-308;2,4;0,005;0,009;561,1;
-307,5;1,5;-0,021;0,009;561,1;
-307;1,4;-0,038;0,011;561,1;
-306,5;3,5;-0,007;0,027;561,1;
-306;2,2;-0,015;0,003;561;
-305,5;1,4;-0,039;0,018;560,9;
-305;1,8;-0,031;0;561;
-304,5;0,4;-0,07;0,028;560,8;
-304;2;-0,017;0,011;560,7;
-303,5;1,7;-0,03;0,018;560,6;
-303;2,6;-0,017;0,043;560,7;
-302,5;0,9;-0,045;0,008;560,6;
-302;1;-0,036;-0,003;560,6;
-301,5;1,1;-0,058;0;560,5;
-301;1,7;-0,04;0,001;560,5;
-300,5;1;-0,048;0,016;560,8;
-300;0,8;-0,063;0,024;560,8;
-299,5;1,2;-0,04;0,023;560,7;
-299;2,4;-0,02;0,01;560,6;
-298,5;0,5;-0,059;0,01;560,6;
-298;0,5;-0,073;0,005;560,6;
-297,5;0,5;-0,058;0,025;560,6;
-297;1,7;-0,025;0,004;560,5;
-296,5;1;-0,041;0,035;560,4;
-296;1,6;-0,03;0,014;560,3;
-295,5;1,9;-0,011;0,018;560,4;
-295;0,9;-0,055;0,024;560,3;
-294,5;2,1;-0,02;-0,008;560,3;
-294;2,9;-0,016;0,027;560,3;
-293,5;1,5;-0,036;0,043;560,2;
-293;1,6;-0,034;0,042;560,2;
-292,5;1,6;-0,012;0,005;560,2;
-292;2,4;-0,019;0,037;560,2;
-291,5;1,3;-0,024;0,014;560,1;
-291;1,2;-0,034;0,01;560,2;
-290,5;0,6;-0,059;0,03;560,9;
-290;1,3;-0,053;0,008;560,7;
-289,5;2,6;-0,031;0,052;560,7;
-289;2,3;-0,009;0,019;560,6;
-288,5;2,5;-0,005;-0,004;560,6;
-288;1,1;-0,065;0,008;560,6;
-287,5;1,9;-0,023;0,032;560,5;
-287;0,8;-0,065;0,011;560,4;
-286,5;0,4;-0,034;-0,001;560,4;
-286;1;-0,054;0,022;560,4;
-285,5;1,6;-0,02;0,003;560,4;
-285;1,3;-0,06;0,013;560,2;
-284,5;2,6;-0,016;-0,008;560,2;
-284;1,1;-0,044;0,004;560,2;
-283,5;1,1;-0,046;0,019;560,1;
-283;1,2;-0,029;0,033;560,1;
-282,5;1,4;-0,046;0,011;560;
-282;1,9;-0,021;0,015;559,9;
-281,5;1,2;-0,033;0,004;560;
-281;1,7;-0,038;0;560;
-280,5;0,7;-0,049;0,027;560,5;
-280;0,8;-0,033;0,014;560,4;
-279,5;2,5;0;0,028;560,4;
-279;1,4;-0,05;0,054;560,4;
-278,5;1,5;-0,023;0,016;560,4;
-278;2,2;-0,009;0,016;560,3;
-277,5;0,7;-0,063;0,014;560,2;
-277;1,8;-0,033;0,015;560,2;
-276,5;2,1;-0,028;-0,006;560,1;
-276;1,5;-0,028;0,014;560,1;
-275,5;1,7;-0,023;-0,005;560,1;
-275;1,9;-0,025;0,025;560;
-274,5;0,9;-0,048;0,009;560;
-274;0,7;-0,051;0,02;559,9;
-273,5;2,3;-0,021;0,029;559,9;
-273;0,9;-0,058;0,015;559,9;
-272,5;1,6;-0,031;0;559,9;
-272;0,9;-0,05;0,025;559,9;
-271,5;1,7;-0,055;0,028;559,8;
-271;2,5;-0,014;0,018;559,8;
-270,5;2,7;0,002;0;560,9;
-270;1,4;-0,045;0,019;560,8;
-269,5;1,7;-0,049;0,008;560,8;
-269;2,1;-0,026;-0,01;560,8;
-268,5;0,2;-0,05;0,028;560,7;
-268;2,1;-0,023;0,014;560,7;
-267,5;1,8;-0,031;0,02;560,6;
-267;1,4;-0,038;-0,001;560,6;
-266,5;1,1;-0,034;0,016;560,5;
-266;1,3;-0,031;0,025;560,4;
-265,5;1,3;-0,034;0,006;560,4;
-265;0,9;-0,051;0,037;560,3;
-264,5;1;-0,043;0,018;560,3;
-264;1,7;-0,026;0,038;560,2;
-263,5;1,5;-0,016;0,008;560,2;
-263;1,8;-0,028;0,016;560,2;
-262,5;0,4;-0,051;0,037;560;
-262;1,1;-0,038;0,008;560;
-261,5;0,9;-0,054;0,006;560;
-261;1,6;-0,025;-0,004;560;
-260,5;1,2;-0,053;0,016;560,5;
-260;1,3;-0,028;0,01;560,5;
-259,5;0,7;-0,045;0,032;560,4;
-259;1,7;-0,03;-0,003;560,3;
-258,5;1;-0,043;0,02;560,3;
-258;0,8;-0,045;0,011;560,3;
-257,5;1,6;-0,036;0,01;560,3;
-257;1,4;-0,03;0,003;560,1;
-256,5;2,1;-0,02;0,019;560,1;
-256;1,1;-0,041;0,02;560,1;
-255,5;2,4;-0,012;0,015;560,1;
-255;1,9;-0,024;0,03;560;
-254,5;2;-0,006;-0,001;560;
-254;2;-0,026;0,01;559,9;
-253,5;1,2;-0,054;0,006;559,9;
-253;1,4;-0,053;0,006;560;
-252,5;1,1;-0,045;0,032;559,9;
-252;0,5;-0,044;0,033;559,9;
-251,5;0,7;-0,043;0,02;559,8;
-251;1,3;-0,049;0,039;559,8;
-250,5;2;-0,017;0,013;560,7;
-250;1,1;-0,031;0,018;560,6;
-249,5;0,3;-0,077;0,032;560,6;
-249;1,3;-0,033;0,016;560,6;
-248,5;2,9;-0,012;0,039;560,5;
-248;0,2;-0,048;0,006;560,4;
-247,5;1;-0,06;0,033;560,3;
-247;1,1;-0,019;-0,005;560,4;
-246,5;0,4;-0,069;0,023;560,2;
-246;1,1;-0,034;0,011;560,3;
-245,5;1,6;-0,053;0,054;560,2;
-245;0,8;-0,05;0,039;560,1;
-244,5;0,8;-0,02;0,024;560,1;
-244;1,2;-0,059;0,033;560;
-243,5;1,6;-0,031;0,025;560;
-243;1,7;-0,03;0,014;559,9;
-242,5;1,7;-0,024;0,005;559,9;
-242;2;-0,002;0,013;559,8;
-241,5;0,8;-0,057;0,025;559,8;
-241;1,5;-0,048;-0,012;559,8;
-240,5;0,5;-0,06;0,003;560,4;
-240;0,6;-0,044;0,016;560,4;
-239,5;1,1;-0,055;0,016;560,3;
-239;1,1;-0,039;0,03;560,3;
-238,5;2,6;0,002;0,004;560,2;
-238;1,2;-0,044;0,028;560,2;
-237,5;1,5;-0,019;0,01;560,2;
-237;1;-0,041;0,015;560;
-236,5;2;-0,011;0;560;
-236;2,4;-0,021;-0,006;560;
-235,5;1;-0,036;0,022;560;
-235;1;-0,043;0,035;559,9;
-234,5;0,8;-0,074;0,057;559,9;
-234;2;-0,021;0,015;559,8;
-233,5;1,3;-0,033;0,027;559,8;
-233;1,6;-0,028;0,024;559,8;
-232,5;0,8;-0,028;0,025;559,7;
-232;1,1;-0,072;0,013;559,8;
-231,5;0,8;-0,054;0,023;559,7;
-231;1,2;-0,028;0,011;559,8;
-230,5;0,6;-0,077;0,01;560,6;
-230;2,5;-0,012;0,03;560,5;
-229,5;1,5;-0,035;0,044;560,5;
-229;1,7;-0,01;-0,003;560,5;
-228,5;1,6;-0,026;0,009;560,4;
-228;2;-0,025;0,011;560,4;
-227,5;1,2;-0,024;0,004;560,4;
-227;1,6;-0,025;0,01;560,3;
-226,5;1,3;-0,036;0,037;560,3;
-226;1,1;-0,051;0,022;560,2;
-225,5;0,8;-0,039;0,019;560,1;
-225;1,6;-0,039;0,009;560,1;
-224,5;1,3;-0,034;0,023;560;
-224;2,5;-0,019;0,038;560;
-223,5;0,9;-0,05;0,029;559,8;
-223;1,3;-0,051;0,009;559,9;
-222,5;1,9;-0,023;-0,009;559,9;
-222;1,8;-0,035;0,025;559,7;
-221,5;0,9;-0,058;-0,003;559,8;
-221;1,3;-0,03;0,02;559,8;
-220,5;1;-0,035;0,008;560,3;
-220;1,8;-0,024;0,01;560,3;
-219,5;1,4;-0,036;0,023;560,3;
-219;2,3;-0,082;-0,014;560,3;
-218,5;1,9;-0,039;0,005;560,2;
-218;0,8;-0,053;0,011;560,2;
-217,5;0,5;-0,053;0,032;560,1;
-217;2;-0,025;0,018;560,1;
-216,5;2,9;-0,001;0,014;560;
-216;1,2;-0,034;0,018;559,9;
-215,5;1,1;-0,046;0,022;559,9;
-215;1,7;-0,031;0,033;559,9;
-214,5;2,4;-0,005;0,027;559,9;
-214;1,3;-0,025;0,027;559,9;
-213,5;1,5;-0,038;0,052;559,9;
-213;1;-0,043;0,025;559,8;
-212,5;1,3;-0,054;0;559,8;
-212;1,2;-0,051;0,027;559,7;
-211,5;1,8;-0,034;0,001;559,6;
-211;0,7;-0,044;0,038;559,7;
-210,5;0,8;-0,062;0,043;560,5;
-210;1,1;-0,068;0,033;560,5;
-209,5;1,5;-0,029;0,006;560,4;
-209;1,5;-0,035;0,009;560,4;
-208,5;2;-0,017;0,019;560,3;
-208;1,4;-0,041;0,032;560,3;
-207,5;1,7;-0,02;0;560,2;
-207;1,2;-0,068;0,006;560,2;
-206,5;2,2;-0,023;0,044;560,1;
-206;1,7;-0,031;0,015;560,1;
-205,5;0,9;-0,043;0,02;560;
-205;1,7;-0,023;-0,003;560;
-204,5;0,8;-0,04;0,022;560;
-204;1,5;-0,035;0,022;559,9;
-203,5;1,2;-0,035;0,006;559,8;
-203;1,1;-0,053;0,024;559,7;
-202,5;1,2;-0,033;0,015;559,7;
-202;1,5;-0,033;0,008;559,6;
-201,5;1,1;-0,05;0,042;559,6;
-201;1,1;-0,025;-0,001;559,7;
-200,5;1,8;-0,044;0,01;560,3;
-200;2,5;-0,009;0,019;560,3;
-199,5;1,5;-0,023;0,024;560,3;
-199;2,1;-0,025;0,003;560,2;
-198,5;1,7;-0,007;0,018;560,2;
-198;1,3;-0,038;0,032;560,1;
-197,5;1,4;-0,028;0,016;560,1;
-197;1,7;-0,039;0,006;560;
-196,5;1,3;-0,029;0,015;560;
-196;1,3;-0,041;-0,004;559,9;
-195,5;0,8;-0,06;0,056;559,9;
-195;1,7;-0,03;0,037;559,9;
-194,5;1,7;-0,033;0,038;559,8;
-194;2;-0,02;0,04;559,9;
-193,5;0,7;-0,062;0,043;559,8;
-193;0,1;-0,062;0,022;559,7;
-192,5;1,9;-0,014;0,009;559,7;
-192;2;-0,019;0,02;559,6;
-191,5;1,9;-0,019;0,03;559,6;
-191;1;-0,035;0,023;559,8;
-190,5;1,8;-0,005;0,009;561,7;
-190;1;-0,082;0,016;561,7;
-189,5;2,6;-0,009;-0,012;561,6;
-189;1,3;-0,031;-0,006;561,6;
-188,5;1,7;-0,036;0;561,5;
-188;1;-0,023;0,029;561,4;
-187,5;0,7;-0,05;0,027;561,5;
-187;1,3;-0,04;0;561,4;
-186,5;1,5;-0,073;0,003;561,3;
-186;1,1;-0,041;0,019;561,3;
-185,5;0,9;-0,048;0,018;561,2;
-185;0,8;-0,048;0,01;561,2;
-184,5;1,8;-0,048;-0,019;561,1;
-184;0,6;-0,036;0,008;561;
-183,5;2,2;-0,016;0,042;561,1;
-183;1,7;-0,033;0,034;561;
-182,5;1,5;-0,02;0,016;560,9;
-182;0,9;-0,039;0,02;560,8;
-181,5;2,9;-0,026;0,044;560,8;
-181;1,1;-0,054;0,018;560,7;
-180,5;2,4;-0,025;-0,017;560,9;
-180;2,9;-0,004;0,02;561;
-179,5;1,6;-0,02;0,005;560,8;
-179;1,5;-0,024;0;560,8;
-178,5;0,8;-0,039;0,025;560,7;
-178;3,1;-0,001;-0,008;560,7;
-177,5;1,4;-0,021;0,006;560,7;
-177;0,8;-0,055;0,048;560,5;
-176,5;1,6;-0,025;0,044;560,6;
-176;1,2;-0,036;0,018;560,4;
-175,5;1,5;-0,014;0,015;560,5;
-175;1;-0,044;0,02;560,6;
-174,5;1,8;-0,04;0,015;560,4;
-174;2,6;-0,015;0,029;560,4;
-173,5;1,6;-0,026;0,006;560,3;
-173;1,6;-0,043;0,016;560,3;
-172,5;2,7;0;0,022;560,3;
-172;1,5;-0,041;0,01;560,3;
-171,5;2,2;-0,026;0,006;560,2;
-171;1,7;-0,038;0,011;560,3;
-170,5;2,3;-0,009;-0,005;560,8;
-170;1,6;-0,023;0,001;560,7;
-169,5;1,7;-0,023;0,01;560,6;
-169;1,6;-0,039;0,028;560,6;
-168,5;0,7;-0,039;0,016;560,5;
-168;1,1;-0,034;-0,004;560,5;
-167,5;0,4;-0,075;0,037;560,4;
-167;0,3;-0,057;0,019;560,4;
-166,5;0,4;-0,067;0,029;560,4;
-166;2,1;-0,033;0,045;560,3;
-165,5;2,1;-0,039;0,039;560,3;
-165;0,9;-0,05;0,024;560,2;
-164,5;2,1;-0,01;0,032;560,2;
-164;2,4;-0,01;0,014;560;
-163,5;0,8;-0,053;0,013;560,1;
-163;2;-0,035;0,038;560;
-162,5;1;-0,051;0,014;560;
-162;1,3;-0,036;0,015;559,9;
-161,5;0,5;-0,065;0,03;559,9;
-161;1,7;-0,028;0;559,9;
-160,5;1,7;-0,028;-0,015;560,6;
-160;2;-0,016;0,013;560,5;
-159,5;2;-0,026;0,016;560,4;
-159;1,6;-0,041;0,023;560,5;
-158,5;0,6;-0,045;0,015;560,4;
-158;1,9;-0,014;0,006;560,3;
-157,5;1,7;-0,036;-0,006;560,3;
-157;0,9;-0,036;0,015;560,2;
-156,5;1,2;-0,039;0,015;560,2;
-156;1,7;-0,035;0,005;560,2;
-155,5;2,1;-0,026;0,042;560,1;
-155;1,8;-0,03;-0,014;560,1;
-154,5;0,5;-0,072;0,018;560,1;
-154;1,7;-0,023;-0,005;560;
-153,5;1,6;-0,031;0,03;560;
-153;1,2;-0,046;0,022;560;
-152,5;1,1;-0,045;0,018;559,9;
-152;1;-0,064;0,049;559,9;
-151,5;1;-0,045;0,025;559,8;
-151;2;-0,023;0,015;559,9;
-150,5;2,2;-0,019;0,008;561;
-150;1,6;-0,019;0,029;561;
-149,5;1,5;-0,043;0,03;560,9;
-149;2,7;-0,012;0,032;561;
-148,5;2,5;-0,004;0,005;560,8;
-148;1,4;-0,026;0,025;560,8;
-147,5;1,9;-0,025;0,01;560,7;
-147;1,3;-0,019;0,027;560,7;
-146,5;1,7;-0,054;0,045;560,7;
-146;0,8;-0,035;0,014;560,6;
-145,5;1,5;-0,035;0,019;560,6;
-145;1,6;-0,045;-0,003;560,5;
-144,5;1,4;-0,025;0,009;560,4;
-144;2,4;-0,034;0,014;560,5;
-143,5;1,2;-0,036;0,011;560,4;
-143;1,2;-0,041;0,006;560,3;
-142,5;1,1;-0,058;-0,003;560,3;
-142;1,5;-0,043;0,035;560,3;
-141,5;1,8;-0,026;-0,004;560,2;
-141;0,8;-0,074;0,018;560,2;
-140,5;0,8;-0,049;0,016;560,7;
-140;0,8;-0,06;0,034;560,6;
-139,5;3,3;-0,006;0,005;560,6;
-139;1,8;-0,009;0,015;560,6;
-138,5;1,6;-0,044;-0,005;560,4;
-138;1,5;-0,017;0,02;560,4;
-137,5;0,5;-0,062;0,019;560,4;
-137;0,9;-0,039;0,029;560,4;
-136,5;1,4;-0,045;0,047;560,3;
-136;1,3;-0,041;0,005;560,3;
-135,5;1,5;-0,033;0,04;560,3;
-135;1,9;-0,039;0,029;560,2;
-134,5;1,3;-0,021;0,029;560,3;
-134;1,5;-0,033;0,013;560,2;
-133,5;1;-0,048;0,03;560,1;
-133;0,7;-0,065;0,008;560;
-132,5;0,8;-0,048;0,015;560,1;
-132;1,5;-0,033;-0,003;560;
-131,5;1,6;-0,031;0,014;559,9;
-131;0,8;-0,038;0,027;560;
-130,5;1,2;-0,05;0,015;561,1;
-130;1,4;-0,043;0,024;561,2;
-129,5;0,7;-0,045;0,005;561,2;
-129;1,2;-0,065;0;561,1;
-128,5;1,7;-0,034;0,003;561,1;
-128;1,4;-0,044;0,02;561,1;
-127,5;1;-0,041;0,025;560,9;
-127;1,1;-0,028;0,015;560,9;
-126,5;1,9;-0,014;0,013;560,9;
-126;1,9;-0,036;0,028;560,8;
-125,5;1,1;-0,046;0,011;560,8;
-125;1,7;-0,046;0,03;560,7;
-124,5;2,6;0,002;0,019;560,6;
-124;2;-0,017;0,035;560,5;
-123,5;0,8;-0,036;0,015;560,6;
-123;0,6;-0,053;0,011;560,4;
-122,5;0,9;-0,077;0,018;560,4;
-122;1,9;-0,031;-0,005;560,3;
-121,5;0,6;-0,038;0,015;560,3;
-121;1,2;-0,034;-0,003;560,3;
-120,5;1,5;-0,049;0,009;560,9;
-120;1;-0,034;0,033;560,8;
-119,5;1,2;-0,026;0,03;560,7;
-119;2,2;-0,026;0,038;560,7;
-118,5;1,5;-0,035;0,03;560,7;
-118;1,5;-0,033;0,019;560,6;
-117,5;1,2;-0,031;0,008;560,6;
-117;1,4;-0,024;0,028;560,5;
-116,5;1,6;-0,031;0,024;560,5;
-116;0,9;-0,039;0,034;560,4;
-115,5;1,1;-0,043;0,027;560,3;
-115;1;-0,041;0,011;560,3;
-114,5;1;-0,054;0,01;560,3;
-114;1,8;-0,021;0,033;560,3;
-113,5;0,9;-0,049;0,044;560,3;
-113;0,9;-0,051;0,027;560,2;
-112,5;2,7;-0,002;0,025;560,3;
-112;1,2;-0,04;0,02;560,2;
-111,5;0,8;-0,035;0,027;560,2;
-111;1,7;-0,026;0,004;560,1;
-110,5;1,8;-0,028;0;561,3;
-110;1,4;-0,029;0,014;561,2;
-109,5;1,5;-0,025;0,024;561,1;
-109;1;-0,039;0,016;561,1;
-108,5;1,5;-0,05;0,005;561,1;
-108;1,9;-0,043;-0,014;561;
-107,5;1;-0,029;0,019;561;
-107;1,8;-0,023;0,039;560,9;
-106,5;1,4;-0,034;0,018;560,8;
-106;1;-0,046;0,015;560,8;
-105,5;0,7;-0,048;0,016;560,7;
-105;1,2;-0,043;0,005;560,7;
-104,5;0,9;-0,043;0,008;560,6;
-104;2,1;-0,028;0,011;560,6;
-103,5;1,4;-0,031;0,025;560,5;
-103;0,1;-0,069;0,025;560,5;
-102,5;1,2;-0,039;0,016;560,4;
-102;0,7;-0,049;0,01;560,3;
-101,5;1;-0,049;0,02;560,3;
-101;0,9;-0,05;0,004;560,3;
-100,5;2,2;-0,02;0,003;560,5;
-100;0,5;-0,043;0,027;560,5;
-99,5;1,2;-0,038;0,014;560,4;
-99;2;-0,033;0,013;560,3;
-98,5;1,9;-0,031;0,014;560,4;
-98;1,7;-0,044;0;560,3;
-97,5;1,2;-0,041;0,04;560,3;
-97;0,7;-0,055;0,03;560,2;
-96,5;2,2;-0,004;0,01;560,1;
-96;2;-0,04;0,038;560,1;
-95,5;2,4;-0,01;0,011;560,1;
-95;2,1;0,007;-0,006;560;
-94,5;1,9;-0,025;0,001;560;
-94;1,6;-0,03;0,022;560;
-93,5;1,4;-0,048;0;560;
-93;1,1;-0,055;0,008;559,9;
-92,5;0,7;-0,046;0,01;559,9;
-92;2,2;-0,024;0,051;559,8;
-91,5;1,3;-0,033;0,013;559,8;
-91;1,6;-0,043;-0,006;559,9;
-90,5;1,2;-0,017;0,019;562,1;
-90;2,3;-0,014;0,027;562,2;
-89,5;2,2;-0,04;0,005;562,2;
