t (ms);Axis_1 [1] Default\P-Parameter\P-0-0065 Absolute voltage value, actual value(V eff);Axis_1 [1] Default\P-Parameter\P-0-0067 Phase current U, actual value(A);Axis_1 [1] Default\P-Parameter\P-0-0068 Phase current V, actual value(A);Axis_1 [1] Default\S-Parameter\S-0-0380 DC bus voltage(V)
-377,5;3,9;0,22;-0,221;558;
-377;4,8;0,249;-0,24;557,9;
-376,5;4,7;0,26;-0,275;557,8;
-376;4,3;0,232;-0,224;557,8;
-375,5;5;0,232;-0,248;557,7;
-375;4,6;0,268;-0,263;557,7;
-374,5;4,7;0,216;-0,222;557,6;
-374;5,5;0,191;-0,241;557,5;
-373,5;3,5;0,254;-0,325;557,5;
-373;3,8;0,219;-0,274;557,4;
-372,5;4,1;0,207;-0,226;557,4;
-372;3,7;0,255;-0,254;557,4;
-371,5;6,2;0,247;-0,239;557,3;
-371;2,5;0,239;-0,254;557,3;
-370,5;6,3;0,225;-0,212;557,2;
-370;2,2;0,284;-0,285;557,2;
-369,5;4,8;0,221;-0,243;557,1;
-369;4;0,253;-0,278;557;
-368,5;4,9;0,266;-0,235;557,1;
-368;3,9;0,247;-0,258;557,8;
-367,5;5,8;0,231;-0,233;557,9;
-367;4,5;0,222;-0,238;557,7;
-366,5;4,9;0,245;-0,236;557,8;
-366;4,2;0,255;-0,263;557,8;
-365,5;3,5;0,275;-0,273;557,7;
-365;4,9;0,202;-0,24;557,6;
-364,5;4,7;0,224;-0,272;557,5;
-364;3,5;0,247;-0,267;557,5;
-363,5;3,2;0,275;-0,274;557,5;
-363;4,8;0,226;-0,227;557,4;
-362,5;4,9;0,236;-0,263;557,3;
-362;3,4;0,24;-0,251;557,4;
-361,5;2,9;0,27;-0,287;557,3;
-361;3,7;0,212;-0,238;557,3;
-360,5;5;0,245;-0,231;557,2;
-360;3,8;0,29;-0,277;557,2;
-359,5;3,4;0,26;-0,244;557,2;
-359;4;0,245;-0,274;557,1;
-358,5;4;0,239;-0,244;557,2;
-358;3,8;0,239;-0,285;557,8;
-357,5;4,4;0,242;-0,277;557,9;
-357;2,4;0,271;-0,267;557,9;
-356,5;4;0,249;-0,258;557,8;
-356;4,5;0,258;-0,263;557,8;
-355,5;4,4;0,234;-0,239;557,7;
-355;5,9;0,207;-0,22;557,7;
-354,5;3,2;0,23;-0,293;557,6;
-354;3,3;0,235;-0,239;557,6;
-353,5;3,7;0,236;-0,251;557,6;
-353;3,4;0,305;-0,293;557,5;
-352,5;4,3;0,249;-0,234;557,4;
-352;3,6;0,24;-0,27;557,4;
-351,5;4,8;0,232;-0,241;557,3;
-351;3,8;0,231;-0,246;557,2;
-350,5;4,5;0,258;-0,263;557,2;
-350;2,1;0,279;-0,292;557,1;
-349,5;3;0,239;-0,25;557;
-349;3,7;0,247;-0,258;557;
-348,5;4,4;0,25;-0,254;557,2;
-348;3;0,26;-0,265;557,8;
-347,5;4,9;0,229;-0,241;557,9;
-347;4,3;0,237;-0,262;557,8;
-346,5;4,8;0,236;-0,26;557,8;
-346;3,2;0,231;-0,249;557,7;
-345,5;4,5;0,234;-0,254;557,6;
-345;3,3;0,237;-0,274;557,6;
-344,5;3,6;0,253;-0,254;557,6;
-344;2,8;0,299;-0,278;557,5;
-343,5;2,3;0,244;-0,292;557,4;
-343;2,9;0,225;-0,241;557,4;
-342,5;3,1;0,283;-0,296;557,3;
-342;1,9;0,285;-0,294;557,3;
-341,5;3,3;0,255;-0,253;557,3;
-341;4,8;0,237;-0,248;557,3;
-340,5;4,1;0,254;-0,269;557,3;
-340;3,1;0,261;-0,269;557,1;
-339,5;4,9;0,21;-0,248;557,2;
-339;3,7;0,247;-0,264;557,1;
-338,5;4,2;0,24;-0,273;557,2;
-338;2,1;0,309;-0,309;557,9;
-337,5;2,8;0,242;-0,246;557,9;
-337;3;0,255;-0,272;557,9;
-336,5;4,7;0,261;-0,292;557,8;
-336;4,1;0,244;-0,269;557,8;
-335,5;3,7;0,231;-0,243;557,7;
-335;4;0,24;-0,253;557,6;
-334,5;3,2;0,276;-0,264;557,6;
-334;3,8;0,253;-0,259;557,6;
-333,5;4,3;0,247;-0,243;557,4;
-333;5,3;0,254;-0,229;557,4;
-332,5;3,9;0,258;-0,267;557,4;
-332;4,4;0,235;-0,248;557,4;
-331,5;5;0,197;-0,205;557,2;
-331;4,5;0,258;-0,259;557,2;
-330,5;4,6;0,207;-0,227;557,1;
-330;4,4;0,25;-0,249;557,1;
-329,5;3,2;0,244;-0,254;557;
-329;4,7;0,259;-0,23;557;
-328,5;3;0,281;-0,289;557,1;
-328;4,5;0,217;-0,233;557,8;
-327,5;4,5;0,226;-0,272;557,8;
-327;2,9;0,236;-0,251;557,8;
-326,5;2,6;0,29;-0,307;557,8;
-326;4,8;0,207;-0,244;557,7;
-325,5;4,3;0,221;-0,236;557,6;
-325;2,2;0,297;-0,308;557,6;
-324,5;3,7;0,23;-0,234;557,5;
-324;4,8;0,227;-0,235;557,5;
-323,5;5,2;0,237;-0,244;557,4;
-323;4;0,269;-0,262;557,4;
-322,5;4,6;0,234;-0,229;557,3;
-322;5;0,236;-0,224;557,3;
-321,5;3,5;0,249;-0,275;557,3;
-321;3,4;0,25;-0,274;557,4;
-320,5;3,6;0,255;-0,284;557,2;
-320;4,4;0,245;-0,236;557,2;
-319,5;5;0,22;-0,243;557,1;
-319;5,8;0,212;-0,24;557,1;
-318,5;3,3;0,226;-0,267;557,2;
-318;6,5;0,219;-0,225;557,9;
-317,5;3,8;0,24;-0,273;557,9;
-317;4,8;0,211;-0,259;557,8;
-316,5;5,1;0,234;-0,23;557,8;
-316;4,1;0,247;-0,245;557,8;
-315,5;3,7;0,266;-0,272;557,7;
-315;3,5;0,246;-0,256;557,6;
-314,5;4,7;0,229;-0,235;557,6;
-314;4,4;0,219;-0,24;557,5;
-313,5;2,8;0,263;-0,274;557,5;
-313;2,4;0,265;-0,294;557,4;
-312,5;3,2;0,242;-0,259;557,4;
-312;1,9;0,304;-0,314;557,3;
-311,5;3,4;0,231;-0,265;557,2;
-311;5,1;0,24;-0,229;557,2;
-310,5;4;0,28;-0,264;557,1;
-310;4;0,266;-0,249;557,1;
-309,5;3,4;0,286;-0,265;557,1;
-309;3;0,27;-0,277;557;
-308,5;4,5;0,25;-0,253;557,1;
-308;3,7;0,229;-0,239;557,7;
-307,5;4,9;0,263;-0,256;557,8;
-307;3,6;0,235;-0,264;557,7;
-306,5;4,9;0,242;-0,24;557,7;
-306;3,7;0,237;-0,265;557,6;
-305,5;4,3;0,236;-0,259;557,6;
-305;4,3;0,24;-0,265;557,5;
-304,5;4,9;0,198;-0,22;557,6;
-304;3,8;0,258;-0,25;557,5;
-303,5;2;0,283;-0,303;557,4;
-303;4,4;0,256;-0,265;557,3;
-302,5;3,5;0,215;-0,262;557,3;
-302;4;0,207;-0,227;557,4;
-301,5;3,5;0,281;-0,28;557,3;
-301;4,3;0,259;-0,273;557,2;
-300,5;2,7;0,217;-0,25;557,2;
-300;4,8;0,239;-0,236;557,1;
-299,5;3,6;0,293;-0,312;557,1;
-299;2,6;0,261;-0,262;557,1;
-298,5;4,4;0,229;-0,221;557,2;
-298;4,1;0,253;-0,28;557,9;
-297,5;4,2;0,253;-0,264;557,9;
-297;5;0,198;-0,221;557,9;
-296,5;5,7;0,225;-0,231;557,8;
-296;3,6;0,273;-0,287;557,8;
-295,5;3,7;0,222;-0,255;557,6;
-295;4,4;0,225;-0,254;557,7;
-294,5;3,7;0,269;-0,254;557,6;
-294;4,6;0,212;-0,238;557,6;
-293,5;4,4;0,25;-0,267;557,4;
-293;3,6;0,28;-0,253;557,4;
-292,5;3;0,244;-0,265;557,4;
-292;1,9;0,289;-0,311;557,3;
-291,5;3,8;0,221;-0,221;557,3;
-291;5,3;0,24;-0,258;557,2;
-290,5;5,6;0,217;-0,244;557,1;
-290;2,6;0,224;-0,284;557;
-289,5;4,3;0,232;-0,249;557,1;
-289;6;0,229;-0,234;557;
-288,5;5,1;0,216;-0,254;557,1;
-288;4,7;0,191;-0,23;557,7;
-287,5;3,6;0,25;-0,28;557,9;
-287;3,7;0,281;-0,282;557,8;
-286,5;3,4;0,255;-0,249;557,8;
-286;4,5;0,222;-0,233;557,7;
-285,5;5;0,237;-0,249;557,6;
-285;4,8;0,226;-0,231;557,6;
-284,5;4,4;0,237;-0,262;557,6;
-284;3,8;0,231;-0,245;557,5;
-283,5;4,3;0,239;-0,258;557,4;
-283;3,6;0,288;-0,303;557,4;
-282,5;2,6;0,292;-0,272;557,4;
-282;5,2;0,174;-0,206;557,3;
-281,5;4,5;0,23;-0,259;557,3;
-281;4,9;0,271;-0,268;557,3;
-280,5;4,8;0,227;-0,236;557,3;
-280;4,9;0,211;-0,236;557,2;
-279,5;3,5;0,251;-0,273;557,2;
-279;5,8;0,245;-0,221;557,1;
-278,5;3,2;0,264;-0,316;557,3;
-278;3,8;0,255;-0,236;557,9;
-277,5;3,7;0,251;-0,258;557,8;
-277;4,2;0,273;-0,27;558;
-276,5;3,6;0,229;-0,287;557,9;
-276;2,3;0,258;-0,269;557,8;
-275,5;3,7;0,237;-0,243;557,8;
-275;5,3;0,227;-0,248;557,8;
-274,5;4;0,241;-0,275;557,6;
-274;2,5;0,249;-0,274;557,6;
-273,5;3,5;0,265;-0,285;557,5;
-273;4;0,266;-0,248;557,5;
-272,5;4,8;0,203;-0,233;557,4;
-272;4,2;0,268;-0,258;557,4;
-271,5;5,2;0,249;-0,238;557,3;
-271;3,4;0,258;-0,241;557,3;
-270,5;5,8;0,206;-0,233;557,2;
-270;5;0,231;-0,248;557,2;
-269,5;2,6;0,264;-0,267;557,1;
-269;1,2;0,281;-0,301;557;
-268,5;4,4;0,222;-0,225;557,2;
-268;3;0,265;-0,313;557,8;
-267,5;3,5;0,294;-0,301;557,9;
-267;3,1;0,24;-0,251;557,8;
-266,5;4,9;0,232;-0,216;557,8;
-266;4,1;0,276;-0,283;557,7;
-265,5;4,1;0,253;-0,278;557,7;
-265;4,6;0,202;-0,2;557,6;
-264,5;5,1;0,216;-0,222;557,6;
-264;5,3;0,274;-0,296;557,5;
-263,5;3,4;0,253;-0,236;557,5;
-263;4,3;0,226;-0,224;557,4;
-262,5;6,1;0,232;-0,22;557,4;
-262;3,1;0,242;-0,28;557,4;
-261,5;4,3;0,23;-0,244;557,3;
-261;3,4;0,249;-0,259;557,3;
-260,5;4,2;0,237;-0,258;557,3;
-260;2,7;0,273;-0,306;557,2;
-259,5;2,3;0,237;-0,263;557,2;
-259;4,1;0,229;-0,224;557,2;
-258,5;4,9;0,237;-0,272;557,3;
-258;3,9;0,255;-0,265;557,9;
-257,5;4,4;0,239;-0,24;558;
-257;4;0,255;-0,235;557,8;
-256,5;4,7;0,281;-0,274;557,8;
-256;4;0,22;-0,24;557,8;
-255,5;3,7;0,236;-0,259;557,7;
-255;3,9;0,265;-0,248;557,7;
-254,5;3,3;0,244;-0,268;557,7;
-254;4,1;0,256;-0,272;557,5;
-253,5;3,5;0,216;-0,269;557,5;
-253;3,3;0,239;-0,26;557,4;
-252,5;5,5;0,196;-0,256;557,4;
-252;3,7;0,288;-0,279;557,3;
-251,5;1,8;0,255;-0,283;557,3;
-251;4,1;0,235;-0,25;557,2;
-250,5;3,7;0,263;-0,269;557,1;
-250;3,5;0,239;-0,278;557,1;
-249,5;4,9;0,232;-0,234;557,1;
-249;3,3;0,273;-0,288;557,1;
-248,5;4,5;0,207;-0,241;557,2;
-248;5,2;0,213;-0,243;557,8;
-247,5;5,8;0,254;-0,239;557,9;
-247;5,2;0,231;-0,248;557,8;
-246,5;3,2;0,247;-0,275;557,8;
-246;2,9;0,232;-0,262;557,7;
-245,5;4,6;0,22;-0,231;557,6;
-245;1,4;0,318;-0,351;557,6;
-244,5;4,1;0,206;-0,219;557,6;
-244;5;0,212;-0,221;557,4;
-243,5;4,2;0,251;-0,301;557,4;
-243;2,2;0,251;-0,279;557,4;
-242,5;3,3;0,211;-0,241;557,4;
-242;3,9;0,234;-0,279;557,3;
-241,5;4;0,231;-0,268;557,3;
-241;4,6;0,253;-0,267;557,3;
-240,5;3,6;0,225;-0,236;557,3;
-240;3,6;0,215;-0,224;557,2;
-239,5;3,3;0,289;-0,303;557,2;
-239;3,6;0,261;-0,287;557,1;
-238,5;3,5;0,215;-0,246;557,3;
-238;2,4;0,28;-0,308;557,9;
-237,5;3;0,255;-0,248;558;
-237;4,9;0,237;-0,259;558;
-236,5;1,9;0,266;-0,299;557,8;
-236;5,1;0,235;-0,233;557,7;
-235,5;3,9;0,251;-0,249;557,7;
-235;3,6;0,234;-0,28;557,7;
-234,5;3,3;0,246;-0,263;557,7;
-234;2,9;0,25;-0,277;557,6;
-233,5;3,2;0,281;-0,284;557,5;
-233;4,6;0,242;-0,262;557,5;
-232,5;3,7;0,268;-0,274;557,5;
-232;3,2;0,241;-0,248;557,3;
-231,5;3,7;0,249;-0,256;557,3;
-231;3,7;0,251;-0,27;557,3;
-230,5;4,6;0,249;-0,248;557,2;
-230;3,4;0,232;-0,236;557,1;
-229,5;2,3;0,305;-0,335;557;
-229;5,4;0,211;-0,233;557;
-228,5;5,2;0,213;-0,227;557,2;
-228;2,3;0,299;-0,302;557,8;
-227,5;3,7;0,247;-0,238;557,9;
-227;3,9;0,271;-0,275;557,8;
-226,5;5,3;0,231;-0,229;557,8;
-226;4,2;0,212;-0,236;557,7;
-225,5;5,4;0,222;-0,246;557,6;
-225;4,4;0,226;-0,273;557,6;
-224,5;4,3;0,22;-0,239;557,6;
-224;5;0,241;-0,222;557,5;
-223,5;4,5;0,265;-0,26;557,5;
-223;5;0,246;-0,274;557,4;
-222,5;3,6;0,202;-0,253;557,3;
-222;5;0,22;-0,28;557,3;
-221,5;3,6;0,253;-0,285;557,3;
-221;4;0,242;-0,253;557,3;
-220,5;3,2;0,263;-0,27;557,2;
-220;4,6;0,208;-0,251;557,2;
-219,5;3,9;0,237;-0,255;557,2;
-219;5,2;0,24;-0,255;557,1;
-218,5;2,7;0,247;-0,283;557,2;
-218;4,5;0,234;-0,231;557,8;
-217,5;5,2;0,237;-0,229;557,9;
-217;3,9;0,245;-0,248;557,9;
-216,5;4,3;0,246;-0,28;557,8;
-216;4;0,207;-0,246;557,8;
-215,5;3,8;0,251;-0,283;557,7;
-215;3,9;0,234;-0,255;557,7;
-214,5;3,4;0,265;-0,27;557,6;
-214;3,4;0,266;-0,283;557,6;
-213,5;3,9;0,221;-0,226;557,5;
-213;4,5;0,249;-0,26;557,4;
-212,5;3,9;0,245;-0,272;557,4;
-212;4;0,258;-0,263;557,4;
-211,5;2,4;0,239;-0,267;557,3;
-211;3,5;0,241;-0,267;557,2;
-210,5;3,5;0,265;-0,285;557,2;
-210;3,9;0,25;-0,268;557,1;
-209,5;4,3;0,263;-0,246;557,1;
-209;6,5;0,227;-0,207;557;
-208,5;4,8;0,239;-0,233;557,2;
-208;5,6;0,232;-0,24;557,8;
-207,5;4,5;0,224;-0,233;557,9;
-207;4,6;0,235;-0,236;557,8;
-206,5;4,9;0,217;-0,255;557,7;
-206;2,9;0,239;-0,267;557,7;
-205,5;3,5;0,249;-0,291;557,7;
-205;3,3;0,269;-0,287;557,6;
-204,5;2,6;0,253;-0,277;557,5;
-204;3,9;0,254;-0,243;557,4;
-203,5;3,3;0,268;-0,282;557,5;
-203;3,6;0,251;-0,255;557,4;
-202,5;4,5;0,242;-0,256;557,4;
-202;2,8;0,261;-0,283;557,3;
-201,5;2,4;0,276;-0,312;557,3;
-201;4,5;0,222;-0,215;557,3;
-200,5;4,6;0,215;-0,244;557,3;
-200;3,7;0,266;-0,311;557,2;
-199,5;3,7;0,245;-0,254;557,2;
-199;3,7;0,278;-0,249;557,1;
-198,5;3,7;0,256;-0,262;557,2;
-198;4,3;0,241;-0,274;557,8;
-197,5;2,3;0,261;-0,28;557,9;
-197;3,6;0,203;-0,241;557,9;
-196,5;3,3;0,307;-0,327;557,7;
-196;3,9;0,237;-0,23;557,7;
-195,5;4,3;0,231;-0,239;557,8;
-195;3,5;0,275;-0,269;557,7;
-194,5;5,7;0,23;-0,215;557,7;
-194;4,2;0,247;-0,269;557,5;
-193,5;3,1;0,244;-0,258;557,5;
-193;4;0,244;-0,253;557,4;
-192,5;3,7;0,269;-0,27;557,3;
-192;5,2;0,212;-0,219;557,3;
-191,5;3,7;0,269;-0,26;557,3;
-191;3,5;0,239;-0,279;557,2;
-190,5;4,9;0,259;-0,227;557,2;
-190;3,9;0,245;-0,259;557,1;
-189,5;4,3;0,227;-0,264;557;
-189;4,1;0,23;-0,254;557;
-188,5;4,6;0,244;-0,26;557,1;
-188;4,9;0,275;-0,255;557,8;
-187,5;6,3;0,201;-0,216;557,8;
-187;4,8;0,203;-0,243;557,7;
-186,5;5;0,226;-0,249;557,8;
-186;3,1;0,258;-0,293;557,7;
-185,5;3,5;0,23;-0,264;557,6;
-185;3,5;0,231;-0,28;557,6;
-184,5;4,8;0,239;-0,245;557,5;
-184;3,4;0,27;-0,283;557,4;
-183,5;4,6;0,215;-0,235;557,4;
-183;3,9;0,231;-0,253;557,4;
-182,5;4,3;0,261;-0,254;557,3;
-182;2,6;0,27;-0,277;557,3;
-181,5;4,2;0,229;-0,245;557,3;
-181;5,6;0,221;-0,241;557,3;
-180,5;4,3;0,278;-0,255;557,3;
-180;3,5;0,226;-0,262;557,2;
-179,5;3,4;0,276;-0,263;557,1;
-179;3;0,278;-0,28;557;
-178,5;3,6;0,216;-0,264;557,2;
-178;2,7;0,261;-0,308;557,8;
-177,5;2,7;0,247;-0,272;557,9;
-177;2,1;0,279;-0,313;557,8;
-176,5;5,3;0,19;-0,21;557,8;
-176;4,4;0,295;-0,285;557,7;
-175,5;3,8;0,261;-0,248;557,6;
-175;2,6;0,265;-0,282;557,6;
-174,5;3,9;0,22;-0,282;557,6;
-174;3,5;0,242;-0,273;557,5;
-173,5;5;0,258;-0,249;557,4;
-173;4,1;0,226;-0,238;557,4;
-172,5;3,6;0,23;-0,268;557,3;
-172;3,1;0,263;-0,253;557,3;
-171,5;5,8;0,242;-0,245;557,3;
-171;3,6;0,231;-0,253;557,2;
-170,5;4,7;0,241;-0,251;557,1;
-170;4,5;0,239;-0,28;557;
-169,5;5,1;0,22;-0,238;557;
-169;4,2;0,247;-0,265;557;
-168,5;4,9;0,208;-0,244;557,1;
-168;1,8;0,265;-0,291;557,8;
-167,5;4,2;0,249;-0,264;557,8;
-167;4,3;0,246;-0,265;557,8;
-166,5;4,3;0,24;-0,259;557,7;
-166;4;0,226;-0,263;557,6;
-165,5;4,8;0,24;-0,241;557,6;
-165;5,7;0,207;-0,227;557,5;
-164,5;4,4;0,216;-0,253;557,4;
-164;4,9;0,22;-0,251;557,4;
-163,5;4,7;0,224;-0,226;557,4;
-163;4,4;0,236;-0,256;557,4;
-162,5;4,2;0,26;-0,264;557,2;
-162;3,1;0,254;-0,268;557,3;
-161,5;4,5;0,215;-0,244;557,3;
-161;3,6;0,249;-0,279;557,3;
-160,5;5,1;0,21;-0,258;557,2;
-160;5,4;0,212;-0,248;557,1;
-159,5;3,3;0,237;-0,264;557,2;
-159;5;0,247;-0,248;557,1;
-158,5;4,4;0,212;-0,254;557,2;
-158;3,3;0,235;-0,297;557,8;
-157,5;5,4;0,235;-0,239;557,8;
-157;5,3;0,224;-0,249;557,8;
-156,5;4,5;0,258;-0,246;557,8;
-156;5,2;0,222;-0,245;557,7;
-155,5;4,4;0,216;-0,231;557,7;
-155;4,3;0,246;-0,25;557,6;
-154,5;3,8;0,219;-0,273;557,6;
-154;5,4;0,232;-0,249;557,5;
-153,5;3,2;0,256;-0,264;557,5;
-153;4,2;0,224;-0,244;557,4;
-152,5;4,6;0,23;-0,256;557,4;
-152;7,1;0,172;-0,216;557,3;
-151,5;3,7;0,241;-0,272;557,2;
-151;5,5;0,192;-0,216;557,2;
-150,5;4,8;0,224;-0,249;557,1;
-150;4,4;0,232;-0,26;557;
-149,5;5,1;0,213;-0,246;557;
-149;4,4;0,236;-0,244;556,9;
-148,5;4,9;0,203;-0,23;557,1;
-148;4,9;0,279;-0,253;557,7;
-147,5;2,4;0,273;-0,291;557,7;
-147;3;0,225;-0,25;557,7;
-146,5;3,6;0,237;-0,282;557,7;
-146;4,1;0,244;-0,265;557,6;
-145,5;4,8;0,227;-0,263;557,6;
-145;5,2;0,234;-0,26;557,5;
-144,5;4,6;0,231;-0,234;557,5;
-144;3,9;0,245;-0,245;557,4;
-143,5;3,3;0,251;-0,273;557,3;
-143;3,2;0,266;-0,274;557,3;
-142,5;3,5;0,268;-0,259;557,3;
-142;5,3;0,231;-0,259;557,3;
-141,5;3,6;0,241;-0,272;557,3;
-141;5,4;0,226;-0,217;557,1;
-140,5;3,8;0,222;-0,255;557,2;
-140;3,9;0,285;-0,263;557,1;
-139,5;4,3;0,215;-0,238;557;
-139;4,2;0,234;-0,282;557;
-138,5;3,5;0,26;-0,292;557,1;
-138;3,9;0,206;-0,239;557,8;
-137,5;2,4;0,276;-0,306;557,9;
-137;5,2;0,261;-0,245;557,8;
-136,5;2,8;0,24;-0,259;557,7;
-136;2,9;0,254;-0,284;557,7;
-135,5;4;0,239;-0,272;557,7;
-135;4,1;0,251;-0,263;557,6;
-134,5;3,9;0,227;-0,246;557,5;
-134;4;0,242;-0,284;557,5;
-133,5;3,9;0,242;-0,259;557,4;
-133;3,4;0,269;-0,287;557,4;
-132,5;3,2;0,26;-0,285;557,4;
-132;4,2;0,21;-0,225;557,3;
-131,5;4;0,222;-0,248;557,1;
-131;3,7;0,283;-0,297;557,1;
-130,5;1,8;0,254;-0,296;557,1;
-130;4,3;0,236;-0,256;557;
-129,5;4,2;0,242;-0,256;557;
-129;4;0,217;-0,274;556,9;
-128,5;5,3;0,222;-0,258;557,1;
-128;4,2;0,224;-0,256;557,7;
-127,5;3,3;0,245;-0,275;557,7;
-127;4,5;0,24;-0,25;557,7;
-126,5;4,5;0,229;-0,262;557,7;
-126;4,5;0,251;-0,251;557,6;
-125,5;4,4;0,227;-0,227;557,6;
-125;2,8;0,266;-0,288;557,4;
-124,5;3,7;0,264;-0,263;557,4;
-124;2,9;0,281;-0,316;557,4;
-123,5;3,4;0,258;-0,238;557,3;
-123;4,3;0,235;-0,225;557,3;
-122,5;4,1;0,263;-0,301;557,3;
-122;2,6;0,254;-0,279;557,2;
-121,5;5;0,215;-0,234;557,3;
-121;4;0,266;-0,278;557,2;
-120,5;3,5;0,255;-0,27;557,1;
-120;5,7;0,196;-0,226;557,1;
-119,5;5,3;0,196;-0,245;557;
-119;4,7;0,217;-0,234;557;
-118,5;4,9;0,247;-0,258;557,2;
-118;4,3;0,198;-0,241;557,8;
-117,5;4;0,23;-0,258;557,8;
-117;2,6;0,29;-0,32;557,8;
-116,5;2,9;0,219;-0,236;557,8;
-116;5,3;0,197;-0,239;557,7;
-115,5;3,6;0,283;-0,316;557,6;
-115;2,9;0,241;-0,27;557,6;
-114,5;5,7;0,195;-0,204;557,5;
-114;5,8;0,245;-0,217;557,5;
-113,5;3,9;0,212;-0,238;557,4;
-113;4,4;0,27;-0,267;557,4;
-112,5;4,5;0,219;-0,248;557,3;
-112;4,5;0,231;-0,219;557,2;
-111,5;3,5;0,253;-0,287;557,2;
-111;2,9;0,253;-0,292;557,2;
-110,5;3,5;0,259;-0,264;557,1;
-110;3,9;0,201;-0,25;557;
-109,5;3,1;0,253;-0,282;557;
-109;4,3;0,225;-0,284;557;
-108,5;4,1;0,239;-0,273;557,1;
-108;4,8;0,234;-0,219;557,7;
-107,5;4;0,246;-0,254;557,8;
-107;3,3;0,247;-0,287;557,7;
-106,5;4,6;0,234;-0,253;557,6;
-106;5,5;0,205;-0,227;557,6;
-105,5;4,3;0,241;-0,253;557,5;
-105;5,9;0,265;-0,243;557,5;
-104,5;4,3;0,237;-0,231;557,5;
-104;2,9;0,227;-0,306;557,4;
-103,5;4;0,265;-0,278;557,4;
-103;3,8;0,239;-0,233;557,3;
-102,5;4,6;0,226;-0,259;557,3;
-102;4;0,268;-0,255;557,3;
-101,5;2,4;0,256;-0,293;557,3;
-101;3,3;0,221;-0,288;557,2;
-100,5;5,6;0,245;-0,219;557,1;
-100;4,6;0,254;-0,214;557,1;
-99,5;4,7;0,253;-0,249;557,1;
-99;3,7;0,241;-0,269;557;
-98,5;4,3;0,237;-0,243;557,3;
-98;4,2;0,227;-0,258;557,8;
-97,5;3,9;0,249;-0,268;557,8;
-97;3,9;0,237;-0,264;557,8;
-96,5;5,4;0,202;-0,244;557,7;
-96;4,4;0,269;-0,258;557,7;
-95,5;4,4;0,219;-0,24;557,7;
-95;5;0,195;-0,231;557,6;
-94,5;4,3;0,256;-0,268;557,5;
-94;4,1;0,236;-0,284;557,5;
-93,5;3,3;0,226;-0,268;557,5;
-93;3,1;0,251;-0,253;557,5;
-92,5;3,8;0,261;-0,269;557,4;
-92;4,5;0,241;-0,26;557,2;
-91,5;5;0,23;-0,211;557,3;
-91;4,3;0,239;-0,272;557,2;
